contract_id,task_id,config_path,action_view,action_level,timing_convention,frozen_reference,leakage_negative_control,leaderboard_selector
kdd2027_af_rate_anticoag_compact_3bin__action_binary,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__binary,binary,current_window,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__action_binary
kdd2027_af_rate_anticoag_compact_3bin__action_factorized,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,factorized_2_action_three_bin,factorized,current_window,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__action_factorized
kdd2027_af_rate_anticoag_compact_3bin__action_five_bin,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__five_bin,five_bin,current_window,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__action_five_bin
kdd2027_af_rate_anticoag_compact_3bin__action_frozen_compact_joint,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,compact_joint_2_action,frozen_compact_joint,current_window,True,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__action_frozen_compact_joint
kdd2027_af_rate_anticoag_compact_3bin__action_three_bin,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__three_bin,three_bin,current_window,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__action_three_bin
kdd2027_af_rate_anticoag_compact_3bin__timing_cumulative_12h,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__binary,binary,cumulative_12h,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__timing_cumulative_12h
kdd2027_af_rate_anticoag_compact_3bin__timing_cumulative_8h,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__binary,binary,cumulative_8h,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__timing_cumulative_8h
kdd2027_af_rate_anticoag_compact_3bin__timing_next_window_negative_control,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__binary,binary,next_window_negative_control,False,True,contract_id=kdd2027_af_rate_anticoag_compact_3bin__timing_next_window_negative_control
kdd2027_af_rate_anticoag_compact_3bin__timing_previous_window,kdd2027_af_rate_anticoag_compact_3bin,configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,rate_rhythm_control__binary,binary,previous_window,False,False,contract_id=kdd2027_af_rate_anticoag_compact_3bin__timing_previous_window
kdd2027_aki_diuretic_rrt_factorized_3bin__action_binary,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__binary,binary,current_window,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__action_binary
kdd2027_aki_diuretic_rrt_factorized_3bin__action_factorized,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,factorized_2_action_three_bin,factorized,current_window,True,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__action_factorized
kdd2027_aki_diuretic_rrt_factorized_3bin__action_five_bin,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__five_bin,five_bin,current_window,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__action_five_bin
kdd2027_aki_diuretic_rrt_factorized_3bin__action_three_bin,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__three_bin,three_bin,current_window,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__action_three_bin
kdd2027_aki_diuretic_rrt_factorized_3bin__timing_cumulative_12h,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__binary,binary,cumulative_12h,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__timing_cumulative_12h
kdd2027_aki_diuretic_rrt_factorized_3bin__timing_cumulative_8h,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__binary,binary,cumulative_8h,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__timing_cumulative_8h
kdd2027_aki_diuretic_rrt_factorized_3bin__timing_next_window_negative_control,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__binary,binary,next_window_negative_control,False,True,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__timing_next_window_negative_control
kdd2027_aki_diuretic_rrt_factorized_3bin__timing_previous_window,kdd2027_aki_diuretic_rrt_factorized_3bin,configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,diuretic__binary,binary,previous_window,False,False,contract_id=kdd2027_aki_diuretic_rrt_factorized_3bin__timing_previous_window
kdd2027_hf_diuretic_binary__action_binary,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__binary,binary,current_window,True,False,contract_id=kdd2027_hf_diuretic_binary__action_binary
kdd2027_hf_diuretic_binary__action_factorized,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,factorized_2_action_three_bin,factorized,current_window,False,False,contract_id=kdd2027_hf_diuretic_binary__action_factorized
kdd2027_hf_diuretic_binary__action_five_bin,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__five_bin,five_bin,current_window,False,False,contract_id=kdd2027_hf_diuretic_binary__action_five_bin
kdd2027_hf_diuretic_binary__action_three_bin,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__three_bin,three_bin,current_window,False,False,contract_id=kdd2027_hf_diuretic_binary__action_three_bin
kdd2027_hf_diuretic_binary__timing_cumulative_12h,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__binary,binary,cumulative_12h,False,False,contract_id=kdd2027_hf_diuretic_binary__timing_cumulative_12h
kdd2027_hf_diuretic_binary__timing_cumulative_8h,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__binary,binary,cumulative_8h,False,False,contract_id=kdd2027_hf_diuretic_binary__timing_cumulative_8h
kdd2027_hf_diuretic_binary__timing_next_window_negative_control,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__binary,binary,next_window_negative_control,False,True,contract_id=kdd2027_hf_diuretic_binary__timing_next_window_negative_control
kdd2027_hf_diuretic_binary__timing_previous_window,kdd2027_hf_diuretic_binary,configs/tasks/kdd2027_hf_diuretic_binary.json,diuretic__binary,binary,previous_window,False,False,contract_id=kdd2027_hf_diuretic_binary__timing_previous_window
kdd2027_respiratory_peep_5bin__action_binary,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__binary,binary,current_window,False,False,contract_id=kdd2027_respiratory_peep_5bin__action_binary
kdd2027_respiratory_peep_5bin__action_factorized,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,factorized_2_action_three_bin,factorized,current_window,False,False,contract_id=kdd2027_respiratory_peep_5bin__action_factorized
kdd2027_respiratory_peep_5bin__action_five_bin,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__five_bin,five_bin,current_window,True,False,contract_id=kdd2027_respiratory_peep_5bin__action_five_bin
kdd2027_respiratory_peep_5bin__action_three_bin,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__three_bin,three_bin,current_window,False,False,contract_id=kdd2027_respiratory_peep_5bin__action_three_bin
kdd2027_respiratory_peep_5bin__timing_cumulative_12h,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__binary,binary,cumulative_12h,False,False,contract_id=kdd2027_respiratory_peep_5bin__timing_cumulative_12h
kdd2027_respiratory_peep_5bin__timing_cumulative_8h,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__binary,binary,cumulative_8h,False,False,contract_id=kdd2027_respiratory_peep_5bin__timing_cumulative_8h
kdd2027_respiratory_peep_5bin__timing_next_window_negative_control,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__binary,binary,next_window_negative_control,False,True,contract_id=kdd2027_respiratory_peep_5bin__timing_next_window_negative_control
kdd2027_respiratory_peep_5bin__timing_previous_window,kdd2027_respiratory_peep_5bin,configs/tasks/kdd2027_respiratory_peep_5bin.json,peep_setting__binary,binary,previous_window,False,False,contract_id=kdd2027_respiratory_peep_5bin__timing_previous_window
kdd2027_sepsis_vasopressor_3bin__action_binary,kdd2027_sepsis_vasopressor_3bin,configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,vasopressor__binary,binary,current_window,False,False,contract_id=kdd2027_sepsis_vasopressor_3bin__action_binary
kdd2027_sepsis_vasopressor_3bin__action_factorized,kdd2027_sepsis_vasopressor_3bin,configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,factorized_2_action_three_bin,factorized,current_window,False,False,contract_id=kdd2027_sepsis_vasopressor_3bin__action_factorized
kdd2027_sepsis_vasopressor_3bin__action_five_bin,kdd2027_sepsis_vasopressor_3bin,configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,vasopressor__five_bin,five_bin,current_window,False,False,contract_id=kdd2027_sepsis_vasopressor_3bin__action_five_bin
kdd2027_sepsis_vasopressor_3bin__action_three_bin,kdd2027_sepsis_vasopressor_3bin,configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,vasopressor__three_bin,three_bin,current_window,True,False,contract_id=kdd2027_sepsis_vasopressor_3bin__action_three_bin
kdd2027_sepsis_vasopressor_3bin__timing_cumulative_12h,kdd2027_sepsis_vasopressor_3bin,configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,vasopressor__binary,binary,cumulative_12h,False,False,contract_id=kdd2027_sepsis_vasopressor_3bin__timing_cumulative_12h
