benchmark_version,task_id,metric,expected_value,absolute_tolerance,validation_scope
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_eligible_episodes,27236.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_eligible_windows,490248.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_subjects,22437.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_observation_fraction,0.390602256825,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,mortality_90d,0.3278381553825819,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_eligible_episodes,16389.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_eligible_windows,295002.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_subjects,15312.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_observation_fraction,0.4085885882377624,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,mortality_90d,0.1617548355604368,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_eligible_episodes,16453.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_eligible_windows,296154.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_subjects,12979.0,0.0,credentialed_mimiciv_v3_1_full_profile
