task,method,seed,exact_oracle_value,exact_policy_value,exact_regret,negative_regret,claim_boundary
respiratory,behavior_cloning,3408,0.2514049637656743,-0.6853175921342873,0.9367225558999616,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,discrete_bcq,3408,0.2514049637656743,-0.6286777348217177,0.880082698587392,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,discrete_cql,3408,0.2514049637656743,-0.7171027131434806,0.968507676909155,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,soft_spibb,3408,0.2514049637656743,-0.5930857959762111,0.8444907597418854,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,decision_transformer_adapter,3408,0.2514049637656743,-0.6697446517519459,0.9211496155176202,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,empirical_behavior,3408,0.2514049637656743,-0.6589041373580138,0.910309101123688,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,random_supported,3408,0.2514049637656743,-0.5569164837977322,0.8083214475634064,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,minimum_supported_action,3408,0.2514049637656743,-0.7964714024604391,1.0478763662261137,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,maximum_supported_action,3408,0.2514049637656743,-1.0120469161806844,1.2634518799463588,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,severity_rule,3408,0.2514049637656743,0.092554597073499,0.1588503666921752,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H1_exhaustive__support_constrained,3408,0.2514049637656743,-0.4642236047323448,0.715628568498019,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.2285716486219867,0.479976612387661,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H4_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2799173966220192,0.5313223603876935,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.1876578512925867,0.439062815058261,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H8_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2959213086360114,0.5473262724016857,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.2993968419832199,0.5508018057488941,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H1_exhaustive__support_constrained,3408,0.2514049637656743,-0.4642236047323448,0.715628568498019,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.5952414671672972,0.8466464309329715,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H4_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2799173966220192,0.5313223603876935,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.3281871552586405,0.5795921190243148,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H8_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2959213086360114,0.5473262724016857,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.3691207917055363,0.6205257554712106,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,3408,0.2514049637656743,-0.4642236047323448,0.715628568498019,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.280921920259046,0.5323268840247203,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2799173966220192,0.5313223603876935,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.2251995412983602,0.4766045050640345,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2959213086360114,0.5473262724016857,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.3736139090651786,0.6250188728308529,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,3408,0.2514049637656743,-0.4642236047323448,0.715628568498019,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.2265389197220387,0.477943883487713,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2799173966220192,0.5313223603876935,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.1860572430795235,0.4374622068451977,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,3408,0.2514049637656743,-0.2959213086360114,0.5473262724016857,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,3408,0.2514049637656743,-0.3389271474572626,0.5903321112229369,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,exact_adaptive_oracle,3408,0.2514049637656743,0.2514049637656743,0.0,False,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
