method_id,one_step_rmse,executed_seed_rows,final_recursive_rmse,final_horizon_step,final_horizon_hours,gaussian_crps_one_step,gaussian_crps_recursive,coverage90_one_step,coverage90_recursive,width90_one_step,width90_recursive,mean_absolute_coverage_error_one_step,mean_absolute_coverage_error_recursive,cohort,display_method,method_group
dreamer_v3_categorical_rssm,0.7539754789650296,3,1.0367031579367245,11,44,0.3730401709891309,0.5045510256157345,0.9167380305230454,0.8140899143220021,2.346949927884603,2.301468033361042,0.04832806895610183,0.0680044286961306,af flutter,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.6912547915458602,1,0.9005062791094365,11,44,0.3415512634715408,0.4579455306161868,0.9237958124930188,0.941096893500304,2.1963348886581784,3.0961248209724315,0.0505723071003934,0.0605384247824953,af flutter,Gaussian ensemble,P/R/T component family
grud_world_model,0.6948159153731727,3,1.0245396852412136,11,44,0.34394997393300414,0.48060236396307204,0.9186576148337533,0.9139827651115552,2.1765923729210797,2.9541617000347045,0.04340530740239693,0.0289267186278281,af flutter,GRU-D,P/R/T component family
hgb_residual,0.7022984853507449,3,0.9868619208057882,11,44,0.3582046996272957,0.4887964844230908,0.9180039632796758,0.8227900992474733,2.308262891520266,2.308262891520266,0.05595159048316426,0.06401425829165266,af flutter,HGB residual,sanity control
persistence_locf,0.774147028740431,1,0.9744938151162718,11,44,,,,,,,,,af flutter,Persistence/LOCF,sanity control
transformer_world_model,0.6895298967001998,3,2.480925937537053,11,44,0.34000317046112705,0.8100276086774261,0.9207675027614709,0.7162614440734902,2.164564371735903,2.7681605936216793,0.045548912166606635,0.15948565276209148,af flutter,Transformer,P/R/T component family
dreamer_v3_categorical_rssm,0.7242841027696368,3,1.0557386795772248,11,44,0.3553035338282398,0.5048396230627215,0.9187126756281353,0.8004430063627875,2.260775945080342,2.212094250984521,0.050736805721441534,0.08153950140068188,aki,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.6709825166556923,1,0.9353880740748493,11,44,0.3281986336822611,0.4583236861054839,0.9269213229386088,0.9427718300071662,2.1245534694334065,3.1716874235830423,0.0529965362982909,0.0659957328063584,aki,Gaussian ensemble,P/R/T component family
grud_world_model,0.6740439859146249,3,1.1115366752749658,11,44,0.3301269119989711,0.4937622564826429,0.9224065669178484,0.9038524180763968,2.10848598264605,2.956186322978509,0.047337166207011304,0.0227186439083005,aki,GRU-D,P/R/T component family
hgb_residual,0.6812438362939389,3,0.9965331073570844,11,44,0.3455144198205775,0.4794520339343098,0.9246541727290495,0.8292043982134972,2.2944615472070824,2.2944615472070824,0.06373962156253839,0.0570333593925311,aki,HGB residual,sanity control
persistence_locf,0.7487121529064257,1,1.0294088614221537,11,44,,,,,,,,,aki,Persistence/LOCF,sanity control
transformer_world_model,0.669540422521114,3,2.6871754070058658,11,44,0.32692783779373347,0.879383418128131,0.9223479337227736,0.7282684386921178,2.088799960534818,3.0887689497056914,0.04684638464823696,0.13999697785692047,aki,Transformer,P/R/T component family
dreamer_v3_categorical_rssm,0.7313983539375584,3,1.0875944017013397,11,44,0.361637285529913,0.4860495630772171,0.9182899299494984,0.8178919686285462,2.2654101557050663,2.2281599278021997,0.046728746305475966,0.0635815937070911,heart failure,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.6725570945151395,1,1.0782110671379057,11,44,0.3320205396786107,0.4497466821177815,0.9256999232004468,0.9343433638204288,2.138539566206967,2.976065339110441,0.0508578859177546,0.0562827270823151,heart failure,Gaussian ensemble,P/R/T component family
grud_world_model,0.6761160221326158,3,1.1930161899999898,11,44,0.33434973185311745,0.47277309231171144,0.9205334078056273,0.9055551676790244,2.119822437800583,2.8312874282084017,0.0440599618329493,0.025378470525262334,heart failure,GRU-D,P/R/T component family
hgb_residual,0.6794232818929867,3,1.1079718210273841,11,44,0.3454209425308932,0.48131349291830006,0.9187367637133746,0.8188042542297936,2.2129463348340703,2.2129463348340703,0.054947462123856705,0.0685246922199725,heart failure,HGB residual,sanity control
persistence_locf,0.7532349438786974,1,1.0627238749300665,11,44,,,,,,,,,heart failure,Persistence/LOCF,sanity control
transformer_world_model,0.670701668157243,3,2.9148102818328674,11,44,0.33003390167313323,0.8967412940078047,0.9211664223044519,0.6570597407433266,2.0956139363035065,2.466214189212564,0.04434272382415227,0.20984634271218783,heart failure,Transformer,P/R/T component family
dreamer_v3_categorical_rssm,0.7731141708940944,3,1.4545360559427738,11,44,0.38389185231685324,0.5890068905427488,0.9120469564737758,0.7683283453491923,2.3719012124932166,2.35253741490367,0.042829915446774,0.11606217672014123,respiratory,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.6959484183864965,1,0.9722130935132034,11,44,0.3457701097773694,0.4580490810478537,0.9232287901309238,0.9345922643926404,2.1944021058665077,3.0174758337429277,0.0453124242173524,0.0549605359634132,respiratory,Gaussian ensemble,P/R/T component family
grud_world_model,0.700141729828006,3,1.0944942287354111,11,44,0.34847455068255506,0.4777816888070767,0.9177139531367239,0.9120222305276041,2.1733146698021995,2.8919520502578204,0.0381062374052211,0.0303834922926372,respiratory,GRU-D,P/R/T component family
hgb_residual,0.711914348116153,3,1.039253666431588,11,44,0.3634954263069794,0.4751169489193332,0.9119252287387769,0.835882483283834,2.2567188259569355,2.2567188259569355,0.04821589222150257,0.05074502366558343,respiratory,HGB residual,sanity control
persistence_locf,0.8266710568836556,1,1.3366822634129794,11,44,,,,,,,,,respiratory,Persistence/LOCF,sanity control
transformer_world_model,0.6947431749270562,3,1.952376470458926,11,44,0.3443577943006595,0.6194535725494769,0.9173154850041891,0.7688047953119606,2.133264700447111,2.495569431405335,0.03657631948585243,0.11523766151511088,respiratory,Transformer,P/R/T component family
dreamer_v3_categorical_rssm,0.7399760331108571,3,1.0563310146478366,11,44,0.3699327094807021,0.5126516185717394,0.9066387509629393,0.7976645386663006,2.2708439120027033,2.2373965510248066,0.04512991099009217,0.08438369982228526,sepsis,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.6688643471163153,1,0.9260909409577534,11,44,0.3335418189324702,0.4518638931482556,0.915543555362332,0.9408164199254055,2.0747950023485013,3.0304033765737466,0.0403533510285334,0.0593812209688122,sepsis,Gaussian ensemble,P/R/T component family
grud_world_model,0.6725147050321517,3,1.088942851848969,11,44,0.3360037327620435,0.48717900212837933,0.9093578625418545,0.8989085417477062,2.056021204606234,2.8150062987566824,0.0349484970520711,0.016334786322830534,sepsis,GRU-D,P/R/T component family
hgb_residual,0.6754423593483487,3,0.9405043327777065,11,44,0.34382171862858585,0.46720647209756155,0.9138159851726426,0.8152491438421466,2.162718685503068,2.162718685503068,0.051422385190947904,0.0731564003996674,sepsis,HGB residual,sanity control
persistence_locf,0.7479888798878229,1,1.0449729977928832,11,44,,,,,,,,,sepsis,Persistence/LOCF,sanity control
transformer_world_model,0.6685809222979159,3,3.2683524286332353,11,44,0.33412690865525785,1.10847768306772,0.9101892318605129,0.6230464727821888,2.050532416271982,2.9487459759776278,0.034897966577427865,0.24471498905490852,sepsis,Transformer,P/R/T component family
