task,method_id,ehr_recursive_rmse_mean,ehr_recursive_rmse_sd,ehr_recursive_horizon_rows,ehr_recursive_max_horizon_hours,ehr_recursive_calibration_error,ehr_recursive_nll,ehr_uncertainty_seed_rows,ehr_factual_action_information_delta,ehr_action_cluster_delta,ehr_action_information_seed_rows,known_value_task,known_value_model_family,known_value_policy_regret_mean,known_value_policy_regret_sd,known_value_absolute_exploitation_gap_mean,known_value_signed_exploitation_gap_mean,known_value_planner_seed_sd_mean,known_value_policy_discrimination_range_mean,known_value_planner_rows,known_value_training_seed_count,known_value_member_training_seed_count,known_value_selected_epoch_mean,known_value_trained_epoch_mean,known_value_uniform_extension_applied,known_value_architecture_capacity,known_value_selection_protocol,ehr_weights_reused,model_family_mapping,ehr_seed_surface,contract_alignment,primary_bridge_eligible,analysis_label,claim_boundary
aki,dreamer_v3_categorical_rssm,0.9831774565,0.06686556842,33,44,0.0815395014,1.726693949,3,0.0009506815143,0.000917390444,3,aki_rrt,dreamer_v3_categorical_rssm,0.08430677213,0.05663912545,0.3362807809,-0.3362807809,0.06741063662,0.001754263317,18,3,3,7.333333333,13.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,dreamer_v3_categorical_rssm -> dreamer_v3_categorical_rssm,three_independent_shared_training_seeds,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,gaussian_transition_ensemble,0.8784090956,0.05058120332,11,44,0.06599573281,1.231778274,1,0.00066016126,0.0006151002941,1,aki_rrt,gaussian_recurrent_ensemble,0.01120628788,0.0004560845923,0.4547771719,-0.4547771719,,0.001238184328,6,1,3,12.33333333,18.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,gaussian_transition_ensemble -> gaussian_recurrent_ensemble,one_derived_three_member_surface_not_independent_seed_repetitions,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,grud_world_model,0.9554517249,0.1101153454,33,44,0.02271864391,1.31036789,3,0.0007811649368,0.0007629770507,3,aki_rrt,grud_world_model,0.0846318065,0.05667114092,0.3359165568,-0.3359165568,0.06744678006,0.001783212039,18,3,3,12.33333333,18.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,grud_world_model -> grud_world_model,three_independent_shared_training_seeds,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,transformer_world_model,1.619422083,0.6649121278,33,44,0.1399969779,2.623137027,3,0.000837135797,0.0008501061442,3,aki_rrt,transformer_world_model,0.08432830749,0.05666324454,0.3362592456,-0.3362592456,0.06743918779,0.001754263317,18,3,3,30.33333333,35.66666667,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,transformer_world_model -> transformer_world_model,three_independent_shared_training_seeds,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,dreamer_v3_categorical_rssm,0.9600930129,0.07620210222,33,44,0.06358159371,1.791862842,3,0.0002353755376,0.0003782592231,3,heart_failure,dreamer_v3_categorical_rssm,0.5703821279,0.05286013799,0.8165064759,0.8165064759,0.03971189151,0.1402698536,18,3,3,7.333333333,13.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,dreamer_v3_categorical_rssm -> dreamer_v3_categorical_rssm,three_independent_shared_training_seeds,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,gaussian_transition_ensemble,0.881869856,0.08946392757,11,44,0.05628272708,1.251195461,1,-5.419850002e-05,0.0001028850542,1,heart_failure,gaussian_recurrent_ensemble,0.565707792,0.03822665773,0.6589980227,0.6589980227,,0.106787178,6,1,3,35.66666667,39.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,gaussian_transition_ensemble -> gaussian_recurrent_ensemble,one_derived_three_member_surface_not_independent_seed_repetitions,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,grud_world_model,0.9314116913,0.1246661789,33,44,0.02537847053,1.352247864,3,-7.52171682e-06,0.0001805232729,3,heart_failure,grud_world_model,0.5428076106,0.05696599384,0.7891528048,0.7891528048,0.04996066289,0.1196212491,18,3,3,35.66666667,39.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,grud_world_model -> grud_world_model,three_independent_shared_training_seeds,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,transformer_world_model,1.675661619,0.7152310329,33,44,0.2098463427,4.709474063,3,5.84109101e-05,0.0002261822652,3,heart_failure,transformer_world_model,0.5402760924,0.06618630123,0.7867744843,0.7867744843,0.05586943439,0.1364598653,18,3,3,32.33333333,36.33333333,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,transformer_world_model -> transformer_world_model,three_independent_shared_training_seeds,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,dreamer_v3_categorical_rssm,1.173501584,0.1474860989,33,44,0.1160621767,2.010910983,3,0.005255571674,0.00562678225,3,respiratory,dreamer_v3_categorical_rssm,0.5358427459,0.0888163403,1.820369952,1.820369952,0.08125585599,0.2183924218,18,3,3,7.0,13.66666667,False,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,dreamer_v3_categorical_rssm -> dreamer_v3_categorical_rssm,three_independent_shared_training_seeds,aligned_action_dimension_and_decision_horizon,True,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,gaussian_transition_ensemble,0.9028934838,0.05806962232,11,44,0.05496053596,1.218314837,1,0.0006198049582,0.0006018500038,1,respiratory,gaussian_recurrent_ensemble,0.5794959919,0.06438645552,2.576463933,2.576463933,,0.1633772394,6,1,3,50.33333333,56.33333333,True,hidden48_latent16,frozen_40_to_uniform80_validation_composite,False,gaussian_transition_ensemble -> gaussian_recurrent_ensemble,one_derived_three_member_surface_not_independent_seed_repetitions,aligned_action_dimension_and_decision_horizon,True,exploratory_diagnostic_consistency_not_causal_or_independent_generalization,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
