method_id,one_step_rmse,executed_seed_rows,final_recursive_rmse,final_horizon_step,final_horizon_hours,gaussian_crps_one_step,gaussian_crps_recursive,coverage90_one_step,coverage90_recursive,width90_one_step,width90_recursive,mean_absolute_coverage_error_one_step,mean_absolute_coverage_error_recursive,cohort,display_method,method_group,evidence_status
dreamer_v3_categorical_rssm,0.7242841027696368,3,1.0557386795772248,11,44,0.3553035338282398,0.5048396230627215,0.9187126756281353,0.8004430063627875,2.260775945080342,2.212094250984521,0.050736805721441534,0.08153950140068188,aki,categorical RSSM,P/R/T component family,current_scale_qualified_result
gaussian_transition_ensemble,0.6709825166556923,1,0.9353880740748493,11,44,0.3281986336822611,0.4583236861054839,0.9269213229386088,0.9427718300071662,2.1245534694334065,3.1716874235830423,0.0529965362982909,0.0659957328063584,aki,Gaussian ensemble,P/R/T component family,current_scale_qualified_result
grud_world_model,0.6740439859146249,3,1.1115366752749658,11,44,0.3301269119989711,0.4937622564826429,0.9224065669178484,0.9038524180763968,2.10848598264605,2.956186322978509,0.047337166207011304,0.0227186439083005,aki,GRU-D,P/R/T component family,current_scale_qualified_result
hgb_residual,0.6812438362939389,3,0.9965331073570844,11,44,0.3455144198205775,0.4794520339343098,0.9246541727290495,0.8292043982134972,2.2944615472070824,2.2944615472070824,0.06373962156253839,0.0570333593925311,aki,HGB residual,sanity control,current_scale_qualified_result
persistence_locf,0.7487121529064257,1,1.0294088614221537,11,44,,,,,,,,,aki,Persistence/LOCF,sanity control,current_scale_qualified_result
transformer_world_model,0.669540422521114,3,2.6871754070058658,11,44,0.32692783779373347,0.879383418128131,0.9223479337227736,0.7282684386921178,2.088799960534818,3.0887689497056914,0.04684638464823696,0.13999697785692047,aki,Transformer,P/R/T component family,current_scale_qualified_result
dreamer_v3_categorical_rssm,0.7731141708940944,3,1.4545360559427738,11,44,0.38389185231685324,0.5890068905427488,0.9120469564737758,0.7683283453491923,2.3719012124932166,2.35253741490367,0.042829915446774,0.11606217672014123,respiratory,categorical RSSM,P/R/T component family,current_scale_qualified_result
gaussian_transition_ensemble,0.6959484183864965,1,0.9722130935132034,11,44,0.3457701097773694,0.4580490810478537,0.9232287901309238,0.9345922643926404,2.1944021058665077,3.0174758337429277,0.0453124242173524,0.0549605359634132,respiratory,Gaussian ensemble,P/R/T component family,current_scale_qualified_result
grud_world_model,0.700141729828006,3,1.0944942287354111,11,44,0.34847455068255506,0.4777816888070767,0.9177139531367239,0.9120222305276041,2.1733146698021995,2.8919520502578204,0.0381062374052211,0.0303834922926372,respiratory,GRU-D,P/R/T component family,current_scale_qualified_result
hgb_residual,0.711914348116153,3,1.039253666431588,11,44,0.3634954263069794,0.4751169489193332,0.9119252287387769,0.835882483283834,2.2567188259569355,2.2567188259569355,0.04821589222150257,0.05074502366558343,respiratory,HGB residual,sanity control,current_scale_qualified_result
persistence_locf,0.8266710568836556,1,1.3366822634129794,11,44,,,,,,,,,respiratory,Persistence/LOCF,sanity control,current_scale_qualified_result
transformer_world_model,0.6947431749270562,3,1.952376470458926,11,44,0.3443577943006595,0.6194535725494769,0.9173154850041891,0.7688047953119606,2.133264700447111,2.495569431405335,0.03657631948585243,0.11523766151511088,respiratory,Transformer,P/R/T component family,current_scale_qualified_result
dreamer_v3_categorical_rssm,0.7685359131841749,3,1.2742703864255225,11,44,0.3816042725014972,0.5628904070945854,0.9106828019269025,0.7688697986164789,2.3221622432059923,2.2716587228225387,0.039510326482760365,0.11563142612155347,shock,categorical RSSM,P/R/T component family,current_scale_qualified_result
gaussian_transition_ensemble,0.7036517936889496,1,0.9995726666712844,11,44,0.3486355047990783,0.469799962567706,0.9193191601676648,0.926034969971574,2.160783683672048,2.9627768340817564,0.0395341194978434,0.0400997054763385,shock,Gaussian ensemble,P/R/T component family,current_scale_qualified_result
grud_world_model,0.7075399462584571,3,1.1309904147186793,11,44,0.3512452916585423,0.4985566809585554,0.9134391607541984,0.8880879912131681,2.140551449795714,2.787777035073153,0.0329413246442568,0.0153984710325714,shock,GRU-D,P/R/T component family,current_scale_qualified_result
hgb_residual,0.7199050101855645,3,1.0385633173055488,11,44,0.3689310276622781,0.48468689735821147,0.91688783871443,0.8376904401306294,2.3360937109137274,2.3360937109137274,0.052274327703308865,0.049106644727516725,shock,HGB residual,sanity control,current_scale_qualified_result
persistence_locf,0.8109697007764569,1,1.1214205729049678,11,44,,,,,,,,,shock,Persistence/LOCF,sanity control,current_scale_qualified_result
transformer_world_model,0.7023592870900875,3,2.16990199903501,11,44,0.34740649916706506,0.7179805276448756,0.9125185124669812,0.7654343874878416,2.10674070049191,2.938639689358959,0.031352708842622465,0.11354591510763934,shock,Transformer,P/R/T component family,current_scale_qualified_result
