environment,task,response_regime,horizon,estimator,denominator_contract,clipping_contract,support_contract,target_policy,independent_logged_datasets,intervals_containing_exact_true_value,repeated_dataset_empirical_coverage,binomial_ci_low,binomial_ci_high,binomial_ci_method,true_value_invariant
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,random_supported,200,186,0.93,0.8859451911,0.9578478282,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,minimum_supported_action,200,121,0.605,0.5358834916,0.6701589899,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,severity_rule,200,163,0.815,0.7554293724,0.862698072,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,121,0.605,0.5358834916,0.6701589899,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,random_supported,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,minimum_supported_action,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,severity_rule,200,153,0.765,0.7015863112,0.8184256658,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,random_supported,200,186,0.93,0.8859451911,0.9578478282,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,minimum_supported_action,200,121,0.605,0.5358834916,0.6701589899,wilson_95,True
