environment,task,response_regime,horizon,estimator,denominator_contract,clipping_contract,support_contract,independent_logged_datasets,mean_spearman_rank_recovery,mean_pairwise_order_recovery,mean_behavior_relative_sign_recovery,false_improvement_probability,rank_and_sign_applicable,null_response_note
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,crossfit_stronger,20,masked,500,0.8243529412,0.8681428571,0.7968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,crossfit_stronger,none,masked,500,0.8221176471,0.8667142857,0.7948,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,exact_behavior,20,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,exact_behavior,none,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,misspecified_behavior,20,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,misspecified_behavior,none,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,paper_lstm_h16,20,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,CWPDIS,paper_lstm_h16,none,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,crossfit_stronger,20,masked,500,0.7203529412,0.7931428571,0.6932,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,crossfit_stronger,none,masked,500,0.7031764706,0.782,0.682,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,exact_behavior,20,masked,500,0.8650588235,0.899,0.846,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,exact_behavior,none,masked,500,0.8650588235,0.899,0.846,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,misspecified_behavior,20,masked,500,0.9929411765,0.9942857143,0.9984,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,misspecified_behavior,none,masked,500,0.9929411765,0.9942857143,0.9984,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,paper_lstm_h16,20,masked,500,0.9837647059,0.9868571429,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,DR,paper_lstm_h16,none,masked,500,0.9837647059,0.9868571429,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,crossfit_stronger,20,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,crossfit_stronger,none,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,exact_behavior,20,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,exact_behavior,none,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,misspecified_behavior,20,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,misspecified_behavior,none,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,paper_lstm_h16,20,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,FQE,paper_lstm_h16,none,masked,500,0.9181176471,0.9337142857,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,crossfit_stronger,20,masked,500,0.6923529412,0.7741428571,0.672,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,crossfit_stronger,none,masked,500,0.6761176471,0.7637142857,0.6628,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,exact_behavior,20,masked,500,0.8058823529,0.8567142857,0.79,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,exact_behavior,none,masked,500,0.8058823529,0.8567142857,0.79,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,misspecified_behavior,20,masked,500,0.9487058824,0.9584285714,0.9996,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,misspecified_behavior,none,masked,500,0.9487058824,0.9584285714,0.9996,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,paper_lstm_h16,20,masked,500,0.9092941176,0.9265714286,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,IS,paper_lstm_h16,none,masked,500,0.9092941176,0.9265714286,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,crossfit_stronger,20,masked,500,0.6923529412,0.7741428571,0.672,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,crossfit_stronger,none,masked,500,0.6761176471,0.7637142857,0.6628,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,exact_behavior,20,masked,500,0.8058823529,0.8567142857,0.79,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,exact_behavior,none,masked,500,0.8058823529,0.8567142857,0.79,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,misspecified_behavior,20,masked,500,0.9487058824,0.9584285714,0.9996,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,misspecified_behavior,none,masked,500,0.9487058824,0.9584285714,0.9996,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,paper_lstm_h16,20,masked,500,0.9092941176,0.9265714286,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,PDIS,paper_lstm_h16,none,masked,500,0.9092941176,0.9265714286,1,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,crossfit_stronger,20,masked,500,0.832,0.8727142857,0.7984,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,crossfit_stronger,none,masked,500,0.8271764706,0.8697142857,0.796,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,exact_behavior,20,masked,500,0.8852941176,0.9132857143,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,exact_behavior,none,masked,500,0.8852941176,0.9132857143,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,misspecified_behavior,20,masked,500,0.9162352941,0.9408571429,0.9252,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,misspecified_behavior,none,masked,500,0.9162352941,0.9408571429,0.9252,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,paper_lstm_h16,20,masked,500,0.928,0.9497142857,0.9396,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WDR,paper_lstm_h16,none,masked,500,0.928,0.9497142857,0.9396,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,crossfit_stronger,20,masked,500,0.8243529412,0.8681428571,0.7968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,crossfit_stronger,none,masked,500,0.8221176471,0.8667142857,0.7948,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,exact_behavior,20,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,exact_behavior,none,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,misspecified_behavior,20,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,misspecified_behavior,none,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,paper_lstm_h16,20,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WIS,paper_lstm_h16,none,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,crossfit_stronger,20,masked,500,0.8243529412,0.8681428571,0.7968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,crossfit_stronger,none,masked,500,0.8221176471,0.8667142857,0.7948,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,exact_behavior,20,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,exact_behavior,none,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,misspecified_behavior,20,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,misspecified_behavior,none,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,paper_lstm_h16,20,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,WPDIS,paper_lstm_h16,none,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,crossfit_stronger,20,masked,500,0.8243529412,0.8681428571,0.7968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,crossfit_stronger,none,masked,500,0.8221176471,0.8667142857,0.7948,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,exact_behavior,20,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,exact_behavior,none,masked,500,0.8454117647,0.8842857143,0.8228,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,misspecified_behavior,20,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,misspecified_behavior,none,masked,500,0.8791764706,0.91,0.86,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,paper_lstm_h16,20,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,1,support_restricted_WPDIS,paper_lstm_h16,none,masked,500,0.8944705882,0.921,0.8748,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,crossfit_stronger,20,masked,500,0.8269235531,0.8596,0.8724,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,crossfit_stronger,none,masked,500,0.8225606741,0.8574666667,0.8692,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,exact_behavior,20,masked,500,0.8272797582,0.8593333333,0.8672,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,exact_behavior,none,masked,500,0.8272797582,0.8593333333,0.8672,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,misspecified_behavior,20,masked,500,0.8294528553,0.8596,0.8676,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,misspecified_behavior,none,masked,500,0.8294528553,0.8596,0.8676,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,paper_lstm_h16,20,masked,500,0.8426157343,0.8684,0.878,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,CWPDIS,paper_lstm_h16,none,masked,500,0.8426157343,0.8684,0.878,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,crossfit_stronger,20,masked,500,0.8254857143,0.8738666667,0.908,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,crossfit_stronger,none,masked,500,0.8180571429,0.8696,0.9028,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,exact_behavior,20,masked,500,0.7656,0.8173333333,0.7824,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,exact_behavior,none,masked,500,0.7656,0.8173333333,0.7824,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,misspecified_behavior,20,masked,500,0.6888,0.7209333333,0.6008,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,misspecified_behavior,none,masked,500,0.6888,0.7209333333,0.6008,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,paper_lstm_h16,20,masked,500,0.6685714286,0.7054666667,0.6004,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,DR,paper_lstm_h16,none,masked,500,0.6685714286,0.7054666667,0.6004,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,crossfit_stronger,20,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,crossfit_stronger,none,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,exact_behavior,20,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,exact_behavior,none,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,misspecified_behavior,20,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,misspecified_behavior,none,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,paper_lstm_h16,20,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
