task,mechanism,world_model,planner,variant,training_seed,exact_return,predicted_value,exploitation_gap,cem_iterations,candidate_sequences,elite_count,minimum_unique_sequences,support_mask_bypass,first_action_only_execution,matched_query_budget,claim_boundary
respiratory,null_response,grud_world_model,H1_exhaustive,support_constrained,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H1_exhaustive,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H4_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H4_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H8_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7599762044849208,0.4334191761311834,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H8_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7632774272706886,0.4367203989169513,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H1_exhaustive,support_constrained,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H1_exhaustive,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7864356474392195,0.4598786190854821,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H4_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H4_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7592815272295905,0.4327244988758532,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H8_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7599762044849208,0.4334191761311834,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,transformer_world_model,H8_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.763748760448357,0.4371917320946197,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H1_exhaustive,support_constrained,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H1_exhaustive,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H4_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H4_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H8_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7599762044849208,0.4334191761311834,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,dreamer_v3_categorical_rssm,H8_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.758680958940683,0.4321239305869457,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H1_exhaustive,support_constrained,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H1_exhaustive,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7865824792935142,0.4600254509397769,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H4_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7602417830343822,0.4336847546806449,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H4_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7597618841530096,0.4332048557992723,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H8_categorical_CEM,support_constrained,3408,0.3265570283537373,0.7599762044849208,0.4334191761311834,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,gaussian_recurrent_ensemble,H8_categorical_CEM,support_and_uncertainty_penalized,3408,0.3265570283537373,0.7617851485066599,0.4352281201529226,3,64,8,3,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H1_exhaustive,support_constrained,3411,0.3265570283537373,0.8483471388866082,0.5217901105328708,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H1_exhaustive,support_and_uncertainty_penalized,3411,0.3265570283537373,0.8483471388866082,0.5217901105328708,1,12,0,0,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
respiratory,null_response,grud_world_model,H4_categorical_CEM,support_constrained,3411,0.3265570283537373,0.8290768810096827,0.5025198526559453,3,64,8,2,False,True,True,"Exact finite known-value technical decision-benchmark stress test only. The mechanisms are synthetic and do not model patient treatment benefit. No raw EHR row, causal effect, clinical utility, treatment recommendation, deployment, or autonomous-decision claim is supported."
