environment,task,mechanism,horizon,estimator,denominator_contract,clipping_contract,support_contract,target_policy,independent_logged_datasets,intervals_containing_exact_true_value,repeated_dataset_empirical_coverage,binomial_ci_low,binomial_ci_high,binomial_ci_method,true_value_invariant
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,empirical_behavior,500,490,0.98,0.9635798168,0.9891008164,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,exact_dynamic_programming_oracle,500,332,0.664,0.6214872242,0.7040119922,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,maximum_supported_action,500,372,0.744,0.70398703,0.7802922918,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,minimum_supported_action,500,12,0.024,0.01378131466,0.04147705746,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,random_supported,500,356,0.712,0.6708105508,0.7499567289,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,severity_rule,500,482,0.964,0.943815673,0.977108939,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,empirical_behavior,500,490,0.98,0.9635798168,0.9891008164,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,exact_dynamic_programming_oracle,500,332,0.664,0.6214872242,0.7040119922,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,maximum_supported_action,500,372,0.744,0.70398703,0.7802922918,wilson_95,True
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,minimum_supported_action,500,12,0.024,0.01378131466,0.04147705746,wilson_95,True
