environment,task,mechanism,horizon,estimator,denominator_contract,clipping_contract,support_contract,independent_logged_datasets,mean_spearman_rank_recovery,mean_pairwise_order_recovery,mean_behavior_relative_sign_recovery,false_improvement_probability
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,500,0.9599099739,0.95,0.9068,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,500,0.8760242596,0.8916,0.8404,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,exact_behavior,20,masked,500,0.9343938127,0.9248,0.8944,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,exact_behavior,none,masked,500,0.851879527,0.8773333333,0.852,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,misspecified_behavior,20,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,misspecified_behavior,none,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,paper_lstm_h16,20,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,paper_lstm_h16,none,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,crossfit_stronger,20,masked,500,0.9652571429,0.9616,0.898,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,crossfit_stronger,none,masked,500,0.9265142857,0.934,0.8632,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,exact_behavior,20,masked,500,0.9632,0.9596,0.8972,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,exact_behavior,none,masked,500,0.9416,0.9430666667,0.8656,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,misspecified_behavior,20,masked,500,0.9603428571,0.9541333333,0.8636,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,misspecified_behavior,none,masked,500,0.9603428571,0.9541333333,0.8636,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,paper_lstm_h16,20,masked,500,0.9585142857,0.952,0.8572,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,paper_lstm_h16,none,masked,500,0.9585142857,0.952,0.8572,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,crossfit_stronger,20,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,crossfit_stronger,none,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,exact_behavior,20,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,exact_behavior,none,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,misspecified_behavior,20,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,misspecified_behavior,none,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,paper_lstm_h16,20,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,paper_lstm_h16,none,masked,500,0.9562285714,0.9493333333,0.8492,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,crossfit_stronger,20,masked,500,0.9670857143,0.9625333333,0.9024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,crossfit_stronger,none,masked,500,0.9062857143,0.9206666667,0.8528,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,exact_behavior,20,masked,500,0.9491428571,0.9454666667,0.892,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,exact_behavior,none,masked,500,0.8811428571,0.9056,0.8528,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,misspecified_behavior,20,masked,500,0.9587428571,0.9522666667,0.858,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,misspecified_behavior,none,masked,500,0.9587428571,0.9522666667,0.858,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,paper_lstm_h16,20,masked,500,0.9597714286,0.9630666667,0.9204,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,paper_lstm_h16,none,masked,500,0.9597714286,0.9630666667,0.9204,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,crossfit_stronger,20,masked,500,0.9670857143,0.9625333333,0.9024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,crossfit_stronger,none,masked,500,0.9062857143,0.9206666667,0.8528,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,exact_behavior,20,masked,500,0.9491428571,0.9454666667,0.892,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,exact_behavior,none,masked,500,0.8811428571,0.9056,0.8528,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,misspecified_behavior,20,masked,500,0.9587428571,0.9522666667,0.858,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,misspecified_behavior,none,masked,500,0.9587428571,0.9522666667,0.858,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,paper_lstm_h16,20,masked,500,0.9597714286,0.9630666667,0.9204,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,PDIS,paper_lstm_h16,none,masked,500,0.9597714286,0.9630666667,0.9204,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,crossfit_stronger,20,masked,500,0.9651428571,0.9614666667,0.8976,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,crossfit_stronger,none,masked,500,0.9349714286,0.9392,0.866,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,exact_behavior,20,masked,500,0.9632,0.9598666667,0.8972,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,exact_behavior,none,masked,500,0.9474285714,0.9474666667,0.8728,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,misspecified_behavior,20,masked,500,0.9595428571,0.9533333333,0.8616,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,misspecified_behavior,none,masked,500,0.9595428571,0.9533333333,0.8616,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,paper_lstm_h16,20,masked,500,0.9568,0.95,0.8512,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WDR,paper_lstm_h16,none,masked,500,0.9568,0.95,0.8512,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,crossfit_stronger,20,masked,500,0.9599099739,0.95,0.9068,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,crossfit_stronger,none,masked,500,0.8760242596,0.8916,0.8404,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,exact_behavior,20,masked,500,0.9343938127,0.9248,0.8944,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,exact_behavior,none,masked,500,0.851879527,0.8773333333,0.852,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,misspecified_behavior,20,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,misspecified_behavior,none,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,paper_lstm_h16,20,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WIS,paper_lstm_h16,none,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,crossfit_stronger,20,masked,500,0.9599099739,0.95,0.9068,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,crossfit_stronger,none,masked,500,0.8760242596,0.8916,0.8404,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,exact_behavior,20,masked,500,0.9343938127,0.9248,0.8944,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,exact_behavior,none,masked,500,0.851879527,0.8773333333,0.852,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,misspecified_behavior,20,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,misspecified_behavior,none,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,paper_lstm_h16,20,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,WPDIS,paper_lstm_h16,none,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,crossfit_stronger,20,masked,500,0.9599099739,0.95,0.9068,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,crossfit_stronger,none,masked,500,0.8760242596,0.8916,0.8404,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,exact_behavior,20,masked,500,0.9343938127,0.9248,0.8944,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,exact_behavior,none,masked,500,0.851879527,0.8773333333,0.852,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,misspecified_behavior,20,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,misspecified_behavior,none,masked,500,0.9367479231,0.922,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,paper_lstm_h16,20,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,support_restricted_WPDIS,paper_lstm_h16,none,masked,500,0.9353694306,0.9185333333,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,crossfit_stronger,20,masked,500,0.9486857143,0.9416,0.9068,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,crossfit_stronger,none,masked,500,0.8648,0.8832,0.8404,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,exact_behavior,20,masked,500,0.9317030325,0.9258666667,0.8944,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,exact_behavior,none,masked,500,0.8491887467,0.8784,0.852,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,misspecified_behavior,20,masked,500,0.9245714286,0.912,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,misspecified_behavior,none,masked,500,0.9245714286,0.912,0.8024,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,paper_lstm_h16,20,masked,500,0.923969553,0.9112,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,CWPDIS,paper_lstm_h16,none,masked,500,0.923969553,0.9112,0.8,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,DR,crossfit_stronger,20,masked,500,0.9652571429,0.9616,0.898,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,DR,crossfit_stronger,none,masked,500,0.9265142857,0.934,0.8632,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,DR,exact_behavior,20,masked,500,0.9632,0.9596,0.8972,0.0
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,2,DR,exact_behavior,none,masked,500,0.9416,0.9430666667,0.8656,0.0
