task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
aki,control,empirical_behavior,0.0,0.011036649760157667,Empirical behavior,0.11764705882352941,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,control,empirical_behavior,0.0,0.002418326310013833,Empirical behavior,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,control,empirical_behavior,0.0022279404086610333,0.0021385711079675664,Empirical behavior,0.14705882352941177,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,control,empirical_behavior,0.0020377147593741334,0.002325353656577867,Empirical behavior,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,control,maximum_supported_action,-0.098337507924206,0.009015937331433901,Maximum supported,0.029411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,control,maximum_supported_action,0.0237295039671362,0.0027177290837854333,Maximum supported,1.0,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,control,maximum_supported_action,0.0673259824354045,0.0036006097142183002,Maximum supported,1.0,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,control,maximum_supported_action,0.076011699683009,0.0037490373115666997,Maximum supported,1.0,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,control,minimum_supported_action,0.1837282090015939,0.009612337608463167,Minimum supported,1.0,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,control,minimum_supported_action,-0.0080345553142212,0.0020229284674303668,Minimum supported,0.08823529411764706,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,control,minimum_supported_action,-0.029328702644764736,0.0023098016097367,Minimum supported,0.029411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,control,minimum_supported_action,-0.03876516635805324,0.0025801762418914665,Minimum supported,0.029411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,control,severity_rule,-0.0673182952699193,0.0097250015270642,Severity rule,0.058823529411764705,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,control,severity_rule,-0.0087644966726546,0.002721156933818267,Severity rule,0.029411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,control,severity_rule,0.020164971303831165,0.0024416388688381667,Severity rule,0.23529411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,control,severity_rule,0.003397346027480067,0.0022569851512969667,Severity rule,0.23529411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,control,random_supported,-0.063629992192881,0.009923833548673267,Supported random,0.08823529411764706,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,control,random_supported,0.0080628360442112,0.0026410926942071005,Supported random,0.2647058823529412,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,control,random_supported,0.02259689087000857,0.0024971839550857002,Supported random,0.2647058823529412,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,control,random_supported,0.019945010691809335,0.002527317787792633,Supported random,0.2647058823529412,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,behavior_cloning,0.007465633191193766,0.011224734279120865,Behavior cloning,0.14705882352941177,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,behavior_cloning,-0.0006944212444765667,0.0024037487035661,Behavior cloning,0.17647058823529413,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,behavior_cloning,0.0017830466814493333,0.0020985454913018666,Behavior cloning,0.11764705882352941,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,behavior_cloning,0.0005979552699914249,0.0023549544426743336,Behavior cloning,0.14705882352941177,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,decision_transformer_adapter,0.0236942841456808,0.010820884749562667,Decision Transformer adapter,0.17647058823529413,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,decision_transformer_adapter,0.00014557883382896667,0.0024863191115127004,Decision Transformer adapter,0.23529411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,decision_transformer_adapter,0.0003673242578730999,0.0021123211722541,Decision Transformer adapter,0.08823529411764706,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,decision_transformer_adapter,0.0009389491655669666,0.0022857339552934666,Decision Transformer adapter,0.17647058823529413,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,discrete_bcq,0.1485883761107404,0.010214237213662967,Discrete BCQ,0.9411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,discrete_bcq,-0.008400964582172267,0.0020443029191432333,Discrete BCQ,0.058823529411764705,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,discrete_bcq,-0.0008182485252925669,0.0018770516319204335,Discrete BCQ,0.058823529411764705,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,discrete_bcq,-0.013341464383056334,0.0021033659701735334,Discrete BCQ,0.058823529411764705,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,discrete_cql,0.15214319832522943,0.010172686539845167,Discrete CQL,0.9705882352941176,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,discrete_cql,-0.006039990510099067,0.0020635303021404334,Discrete CQL,0.11764705882352941,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,discrete_cql,0.006059636425696099,0.0024391879008262003,Discrete CQL,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,discrete_cql,-0.004678196675028667,0.0024762111744724,Discrete CQL,0.08823529411764706,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,soft_spibb,0.065679140398456,0.0111387574570558,Soft-SPIBB adapter,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,soft_spibb,-0.0033375829321419,0.0022410781200709333,Soft-SPIBB adapter,0.14705882352941177,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
