task,method_group,method,seeds,mean_true_return,std_true_return,mean_behavior_relative_true_value_difference,mean_paired_standard_error,unsupported_action_mass,within_contract_rank,response_regime,reward_variant,comparison_unit,display_method,selection_rule
respiratory,control,maximum_supported_action,3,0.3929232759888004,0.0183335212146144,0.0673259824354045,0.0036006097142183,0.0,1.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Maximum supported control,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,model_free,behavior_cloning,3,0.3273803402348451,0.0164164032103393,0.0017830466814493,0.0020985454913018,0.0,31.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Behavior cloning,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,model_free,decision_transformer_adapter,3,0.3259646178112689,0.0164583104542141,0.000367324257873,0.0021123211722541,0.0,32.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Decision Transformer adapter,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,model_free,discrete_bcq,3,0.3247790450281032,0.0130241267515065,-0.0008182485252925,0.0018770516319204,0.0,33.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Discrete BCQ,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,model_free,discrete_cql,3,0.3316569299790918,0.0439373953138508,0.006059636425696,0.0024391879008262,0.0,28.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Discrete CQL,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,model_free,soft_spibb,3,0.3305162296809683,0.0301095767319286,0.0049189361275724,0.0022990141853329,0.0,29.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Soft-SPIBB adapter,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,categorical RSSM + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Gaussian ensemble + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,GRU-D + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Transformer + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,control,maximum_supported_action,3,0.4080747472578659,0.0203121679876433,0.076011699683009,0.0037490373115666,0.0,1.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Maximum supported control,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,model_free,behavior_cloning,3,0.3326610028448483,0.0184538566734909,0.0005979552699914,0.0023549544426743,0.0,30.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Behavior cloning,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,model_free,decision_transformer_adapter,3,0.3330019967404238,0.0165053299551358,0.0009389491655669,0.0022857339552934,0.0,29.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Decision Transformer adapter,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,model_free,discrete_bcq,3,0.3187215831918005,0.0113260443165053,-0.0133414643830563,0.0021033659701735,0.0,33.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Discrete BCQ,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,model_free,discrete_cql,3,0.3273848508998281,0.0422482381330146,-0.0046781966750286,0.0024762111744724,0.0,32.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Discrete CQL,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,model_free,soft_spibb,3,0.328894540773869,0.0249695323104284,-0.0031685068009878,0.0023502836395877,0.0,31.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Soft-SPIBB adapter,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,categorical RSSM + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Gaussian ensemble + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,GRU-D + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
shock,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label,Transformer + H4 CEM,"all five model-free methods, one fixed maximum-action control, and the same support-constrained H4 planner for each world model"
