task,method_group,method,seeds,mean_true_return,std_true_return,mean_behavior_relative_true_value_difference,mean_paired_standard_error,unsupported_action_mass,within_contract_rank,response_regime,reward_variant,comparison_unit
respiratory,control,empirical_behavior,3,0.3278252339620569,0.0174500380161095,0.002227940408661,0.0021385711079675,0.0,30.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,control,maximum_supported_action,3,0.3929232759888004,0.0183335212146144,0.0673259824354045,0.0036006097142183,0.0,1.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,control,minimum_supported_action,3,0.296268590908631,0.016759564876696,-0.0293287026447647,0.0023098016097367,0.0,34.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,control,random_supported,3,0.3481941844234044,0.0181772807565258,0.0225968908700085,0.0024971839550857,0.0,26.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,control,severity_rule,3,0.3457622648572271,0.0166204203519105,0.0201649713038311,0.0024416388688381,0.0,27.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,model_free,behavior_cloning,3,0.3273803402348451,0.0164164032103393,0.0017830466814493,0.0020985454913018,0.0,31.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,model_free,decision_transformer_adapter,3,0.3259646178112689,0.0164583104542141,0.000367324257873,0.0021123211722541,0.0,32.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,model_free,discrete_bcq,3,0.3247790450281032,0.0130241267515065,-0.0008182485252925,0.0018770516319204,0.0,33.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,model_free,discrete_cql,3,0.3316569299790918,0.0439373953138508,0.006059636425696,0.0024391879008262,0.0,28.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,model_free,soft_spibb,3,0.3305162296809683,0.0301095767319286,0.0049189361275724,0.0022990141853329,0.0,29.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,3,0.3635049709838933,0.0155057765742637,0.0379076774304974,0.0029276454288852,0.0,7.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,3,0.3648686035399895,0.0208439508520575,0.0392713099865937,0.0029100496671584,0.0,3.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.361550145519768,0.0169642171897909,0.0359528519663722,0.002882209662308,0.0,16.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3594181972961969,0.0160831021328032,0.0338209037428011,0.0027788867763421,0.0,25.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,3,0.3659872333378546,0.0198051750734985,0.0403899397844588,0.0029363886057764,0.0,2.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,3,0.3648686035399895,0.0208439508520575,0.0392713099865937,0.0029100496671584,0.0,3.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3623011771430816,0.0170644075354797,0.0367038835896857,0.0029127817003662,0.0,10.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.35967548713353,0.0170698303501988,0.034078193580134,0.0027836599116308,0.0,24.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,3,0.3635049709838933,0.0155057765742637,0.0379076774304974,0.0029276454288852,0.0,7.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,3,0.3648686035399895,0.0208439508520575,0.0392713099865937,0.0029100496671584,0.0,3.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3616102532796605,0.0169516342921756,0.0360129597262646,0.0028860968640789,0.0,15.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3601107359012609,0.0161331471967182,0.034513442347865,0.0028159786984771,0.0,23.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,3,0.3635049709838933,0.0155057765742637,0.0379076774304974,0.0029276454288852,0.0,7.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,3,0.3648686035399895,0.0208439508520575,0.0392713099865937,0.0029100496671584,0.0,3.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3610131837092767,0.0162208790811969,0.0354158901558809,0.0028755972170512,0.0,17.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3601111906001736,0.0164371839534038,0.0345138970467778,0.0027892523070613,0.0,22.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,empirical_behavior,3,0.3341007623342311,0.018520073658897,0.0020377147593741,0.0023253536565778,0.0,28.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,maximum_supported_action,3,0.4080747472578659,0.0203121679876433,0.076011699683009,0.0037490373115666,0.0,1.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,minimum_supported_action,3,0.2932978812168036,0.0157049879635518,-0.0387651663580532,0.0025801762418914,0.0,34.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,random_supported,3,0.3520080582666662,0.0189240342490946,0.0199450106918093,0.0025273177877926,0.0,26.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,severity_rule,3,0.335460393602337,0.0176573021874186,0.00339734602748,0.0022569851512969,0.0,27.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,behavior_cloning,3,0.3326610028448483,0.0184538566734909,0.0005979552699914,0.0023549544426743,0.0,30.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,decision_transformer_adapter,3,0.3330019967404238,0.0165053299551358,0.0009389491655669,0.0022857339552934,0.0,29.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,discrete_bcq,3,0.3187215831918005,0.0113260443165053,-0.0133414643830563,0.0021033659701735,0.0,33.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,discrete_cql,3,0.3273848508998281,0.0422482381330146,-0.0046781966750286,0.0024762111744724,0.0,32.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,soft_spibb,3,0.328894540773869,0.0249695323104284,-0.0031685068009878,0.0023502836395877,0.0,31.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
