task,response_regime,reward_variant,method,method_group,seed,true_return,exact_behavior_policy_value,paired_behavior_relative_return_difference,paired_standard_error,unsupported_action_mass,policy_probability_complete,rank_within_task_regime_reward_seed,paired_difference_definition
respiratory,null,primary_dense_plus_terminal,behavior_cloning,model_free,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,discrete_bcq,model_free,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,discrete_cql,model_free,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,soft_spibb,model_free,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,decision_transformer_adapter,model_free,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,empirical_behavior,control,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,random_supported,control,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,minimum_supported_action,control,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,maximum_supported_action,control,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,severity_rule,control,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
respiratory,null,primary_dense_plus_terminal,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3408025414257126,0.349589454467382,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
