metric_status,tier,regime,estimator,denominator,clipping,support_contract,horizon,policy_set_interval_inclusion_rate,false_improvement_rate,median_ess,max_unsupported_action_mass,maximum_paired_true_return_se,authorization_use,estimand
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,1,0.6923076923,0.2307692308,167.5550525,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,2,0.6923076923,0.2307692308,34.75098825,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,4,0.6923076923,0.3076923077,4.547855823,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,8,0.6923076923,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,12,0.6923076923,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,masked,17,0.0,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,1,0.0,,34.65892533,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,2,0.0,,1.734316062,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,20.0,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,1,0.6923076923,0.3076923077,167.5550525,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,2,0.6923076923,0.3076923077,31.73322913,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,4,0.6923076923,0.3076923077,4.547855823,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,8,0.6923076923,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,12,0.6923076923,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,masked,17,0.0,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,1,1.0,,31.44362564,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,2,1.0,,1.595954308,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
