diagnostic_family,cohort,method,metric,estimate,numerator,denominator,status,real_ehr_policy_value
canonical_sepsis_support,sepsis,all_S03_policies,pre_estimator_gate_pass_rate,0.0544444444444444,98,1800,diagnostic_only_no_estimator,not available
canonical_sepsis_seed_stability,sepsis,all_S03_policies,material_seed_instability_rate,0.52,26,50,blocks_stability_winner_narrative,not available
canonical_sepsis_probability,sepsis,all_S03_policies,unsupported_probability_row_rate,0.06,9,150,support_failure_retained,not available
canonical_sepsis_policy_collapse,sepsis,all_S03_policies,single_action_collapse_rate,0.12,18,150,diagnostic_only,not available
termination_baseline,sepsis,empirical_hazard_vs_learned_heads,empirical_hazard_brier_better_rate,1.0,18,18,empirical_hazard_better_than_calibrated_and_native,not available
repaired_simple_vs_neural,af flutter,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.012768588650545,,,converged_repaired_diagnostic,not available
repaired_simple_vs_neural,aki,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.0117034137728249,,,converged_repaired_diagnostic,not available
repaired_simple_vs_neural,heart failure,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.0087216137357437,,,converged_repaired_diagnostic,not available
repaired_simple_vs_neural,respiratory,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.0171711731890967,,,converged_repaired_diagnostic,not available
repaired_simple_vs_neural,sepsis,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.0068614370504328,,,converged_repaired_diagnostic,not available
repaired_simple_vs_neural,shock,HGB_vs_best_neural,converged_HGB_minus_best_neural_RMSE,0.0175457230954769,,,converged_repaired_diagnostic,not available
known_value_model_exploitation,respiratory,world_model_planners,mean_absolute_model_exploitation_gap,1.0786607060856075,,72,known_injected_mechanism_only,not available
known_value_model_exploitation,shock,world_model_planners,mean_absolute_model_exploitation_gap,2.3442256525198166,,72,known_injected_mechanism_only,not available
