current_synthesis,source_artifact,source_sha256,source_repository_commit,numeric_role
KDD-SYN-FINAL,sepsis_reference_fidelity_table.csv,07091a8807bbde69acde2a464c31436c5a5030386f8cba4e1e213a838fae817b,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,cohort_policy_evaluability_axes.csv,ba18d259da874d0c5f4e91e1263b848e363c634796dbf4ce3c0dee15f2d57d94,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,world_model_planner_bridge_table.csv,b5b40e24723a5d209cab7b39f8d00baf7e66c72d03bb5b89cc7e5336459bf10e,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,known_value_model_based_vs_model_free.csv,3754ee7b6d56e831f2db332616ac684f242fa905f50cb43627d0a8f034c202b7,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,retrospective_policy_diagnostics.csv,f748796361048698702d139354e3c26f0da257e8eec6e3b349a99e5392273656,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,ope_validation_and_disposition.csv,3222db334ef70f7af7a5a21185c43424cfe55a3686496642fba4a5e9a9bef9de,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,claim_evidence_matrix.csv,983a82f710a1f670510200fc42e1342cd82e4be89ab1e20be1effe24f5dea362,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,failure_mode_catalog.csv,5fbe56166a8cd060c123156b0fb2b630de0f2c12c1bdb294f8c4c88d7e6e4372,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,decision.md,08d8ed702710fee2431bd1e851a8f8268d934b822c3e3c5bc87399235d73ce39,aeccdde6fb8e413caed64908a70c980e7b39c109,current aggregate synthesis
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_s02_canonical_sepsis_materialization_20260714_190000/materialization_manifest.csv,ad892477670b583eab09d22a3ef70ccd9f384b056b3151cf59049b344d8ac8c7,aeccdde6fb8e413caed64908a70c980e7b39c109,AI-Clinician-aligned sepsis aggregate scale
KDD-SYN-FINAL,results/kdd097_rich_task_materialization_20260714_v2/aggregate_cohort_flow.csv,8fe205ccfa665c841ec3d785497643f454f46ddf486bb6434fe4b55363ca2ef9,aeccdde6fb8e413caed64908a70c980e7b39c109,development episode and transition counts for all six task materializations
KDD-SYN-FINAL,results/kdd_rv01r_leakage_safe_construction_20260714_v2/old_vs_new_construction_drift.csv,91961a12db8f1fca084f5ab72b6da4fa6b1df84da740c12eacddae554c6179cd,aeccdde6fb8e413caed64908a70c980e7b39c109,historical versus strict all-role cohort-count reconciliation
KDD-SYN-FINAL,results/e060_sepsisagent_sepsis3_4h_raw_blood_full_retry_20260609/episode_export_summary.csv,63fcff53b78406c3bdbb684f2007db8921bf63781a5b0f7148c878d29770385c,aeccdde6fb8e413caed64908a70c980e7b39c109,"broader 27,236-episode K25 sepsis predecessor count"
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x01_cross_cohort_evaluability_20260714_205629/cohort_action_contracts.csv,401d9337f5c242e9e2f05516a1097d946ccce5f729ae230cb60913282955bf0d,aeccdde6fb8e413caed64908a70c980e7b39c109,cross-cohort aggregate scale and support
KDD-SYN-FINAL,results/kdd098r_convergence_planning_components_20260714_v2/targeted_action_information.csv,40bd2c8cf25eaebe44748aef3165bcce9f7fed827587ba2dbafc6edd51d6bc5f,aeccdde6fb8e413caed64908a70c980e7b39c109,fixed primary factual-action estimand with episode-cluster intervals
KDD-SYN-FINAL,results/kdd098r_convergence_planning_components_20260714_v2/one_step_state_metrics.csv,b78ef8ea85654a0c72318497e174cf492436f5c76cb34bb866645a9103931ec6,aeccdde6fb8e413caed64908a70c980e7b39c109,all-baseline one-step transition leader inventory
KDD-SYN-FINAL,results/kdd098r_convergence_planning_components_20260714_v2/recursive_rollout_metrics.csv,9d64a9b5f110362cf07ce9f18d8f16d0c9217994c6c1ee42129109d821471e95,aeccdde6fb8e413caed64908a70c980e7b39c109,all-baseline horizon-resolved and final-horizon transition leaders
KDD-SYN-FINAL,results/kdd098r_convergence_planning_components_20260714_v2/uncertainty_calibration.csv,903ff29683a595648d9dcf3b7ec0b85f58c034d28f3018ac47e980739b19d651,aeccdde6fb8e413caed64908a70c980e7b39c109,task-balanced and cohort-specific one-step and recursive uncertainty summaries
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_e02_known_value_full_20260714_190217/estimator_contract_disposition.csv,431a584b338e5142499be27e0593e0d5b837ccd86ee6585fcd7a9b500672a5a0,aeccdde6fb8e413caed64908a70c980e7b39c109,exact OPE tuple identities and gate disposition
