method,aki_rrt_mean_rank,heart_failure_mean_rank,cross_task_mean_rank,cross_task_rank_range,known_value_rows
behavior_cloning,26.875,25.95833333333333,26.416666666666664,0.916666666666668,24
decision_transformer_adapter,26.375,24.125,25.25,2.25,24
discrete_bcq,12.375,27.416666666666668,19.895833333333336,15.041666666666668,24
discrete_cql,11.75,26.125,18.9375,14.375,24
dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,12.5,12.041666666666666,12.270833333333332,0.4583333333333339,24
dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,12.5,14.666666666666666,13.583333333333332,2.166666666666666,24
dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,12.5,14.208333333333334,13.354166666666668,1.708333333333334,24
dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,22.0,15.416666666666666,18.70833333333333,6.583333333333334,24
dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,12.5,11.333333333333334,11.916666666666668,1.166666666666666,24
dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,21.0,11.125,16.0625,9.875,24
empirical_behavior,27.125,27.375,27.25,0.25,24
gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,12.5,14.666666666666666,13.583333333333332,2.166666666666666,24
gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,12.5,14.666666666666666,13.583333333333332,2.166666666666666,24
gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,12.5,17.708333333333332,15.104166666666666,5.208333333333332,24
gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,22.0,15.416666666666666,18.70833333333333,6.583333333333334,24
gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,12.5,15.041666666666666,13.770833333333332,2.541666666666666,24
gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,21.0,11.125,16.0625,9.875,24
grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,12.5,13.666666666666666,13.083333333333332,1.166666666666666,24
grud_world_model__H1_exhaustive__support_constrained,12.5,14.666666666666666,13.583333333333332,2.166666666666666,24
grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,12.5,16.0,14.25,3.5,24
grud_world_model__H4_categorical_CEM__support_constrained,22.0,15.416666666666666,18.70833333333333,6.583333333333334,24
grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,12.5,17.666666666666668,15.083333333333334,5.166666666666668,24
grud_world_model__H8_categorical_CEM__support_constrained,21.0,11.125,16.0625,9.875,24
maximum_supported_action,29.875,13.25,21.5625,16.625,24
minimum_supported_action,5.5,26.625,16.0625,21.125,24
random_supported,28.375,18.0,23.1875,10.375,24
severity_rule,29.125,29.666666666666668,29.395833333333336,0.5416666666666679,24
soft_spibb,25.625,25.125,25.375,0.5,24
transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,12.5,16.291666666666668,14.395833333333334,3.791666666666668,24
transformer_world_model__H1_exhaustive__support_constrained,12.5,14.666666666666666,13.583333333333332,2.166666666666666,24
transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,12.5,19.75,16.125,7.25,24
transformer_world_model__H4_categorical_CEM__support_constrained,22.0,16.75,19.375,5.25,24
transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,12.5,16.166666666666668,14.333333333333334,3.666666666666668,24
transformer_world_model__H8_categorical_CEM__support_constrained,21.0,11.75,16.375,9.25,24
