method,cohort,reward_contract,P_available,R_available,T_available,planning_component_ready_fraction,one_step_error,rollout_error,reward_error,calibration,support_error,model_exploitation,known_value_true_return,retrospective_ope_status,primary_factual_action_delta_rmse,executed_seed_rows,action_information_estimand
dreamer_v3_categorical_rssm,af flutter,unavailable,True,False,True,0.0,0.7539754789650296,1.0367031579367243,,0.0483280689561018,,,,not available; no approved retrospective contract,0.0011658533547434999,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,af flutter,unavailable,True,False,True,0.0,0.6912547915458602,0.9005062791094365,,0.0505723071003934,,,,not available; no approved retrospective contract,0.0003712642978231,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,af flutter,unavailable,True,False,True,0.0,0.6948159153731729,1.0245396852412136,,0.0434053074023969,,,,not available; no approved retrospective contract,0.0007764269087815,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,af flutter,unavailable,True,False,True,0.0,0.6895298967001998,2.480925937537053,,0.0455489121666066,,,,not available; no approved retrospective contract,0.0006519562371893666,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
dreamer_v3_categorical_rssm,aki,unavailable,True,False,True,0.0,0.7242841027696367,1.0557386795772248,,0.0507368057214415,,,,not available; no approved retrospective contract,0.0009506815143164667,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,aki,unavailable,True,False,True,0.0,0.6709825166556923,0.9353880740748493,,0.0529965362982909,,,,not available; no approved retrospective contract,0.0006601612599932,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,aki,unavailable,True,False,True,0.0,0.6740439859146249,1.1115366752749658,,0.0473371662070113,,,,not available; no approved retrospective contract,0.0007811649367871,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,aki,unavailable,True,False,True,0.0,0.669540422521114,2.6871754070058658,,0.0468463846482369,,,,not available; no approved retrospective contract,0.0008371357969783667,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
dreamer_v3_categorical_rssm,heart failure,unavailable,True,False,True,0.0,0.7313983539375583,1.0875944017013397,,0.0467287463054759,,,,not available; no approved retrospective contract,0.00023537553761203336,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,heart failure,unavailable,True,False,True,0.0,0.6725570945151395,1.0782110671379057,,0.0508578859177546,,,,not available; no approved retrospective contract,-5.419850001997517e-05,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,heart failure,unavailable,True,False,True,0.0,0.6761160221326158,1.1930161899999896,,0.0440599618329493,,,,not available; no approved retrospective contract,-7.52171681962307e-06,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,heart failure,unavailable,True,False,True,0.0,0.670701668157243,2.9148102818328674,,0.0443427238241522,,,,not available; no approved retrospective contract,5.841091010186784e-05,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
