cohort,method,seed,horizon_step,horizon_hours,rmse,mae,observed_cells,logged_action_recursive_rollout
sepsis,persistence_locf,3408,1,4,0.8552047270082872,0.5498189477647586,9058,True
sepsis,persistence_locf,3408,2,8,0.8987371920589071,0.597409524844056,8849,True
sepsis,persistence_locf,3408,3,12,0.9788569153880198,0.6445762483150268,8494,True
sepsis,persistence_locf,3408,4,16,1.0029278095443528,0.6652507155220506,8224,True
sepsis,persistence_locf,3408,5,20,0.9695529457783088,0.6469225842652565,8329,True
sepsis,persistence_locf,3408,6,24,0.9894774401856092,0.6892888537116942,8098,True
sepsis,persistence_locf,3408,7,28,1.0244779820408028,0.7207210597208177,7527,True
sepsis,persistence_locf,3408,8,32,1.0145406348042425,0.7119905645429402,7737,True
sepsis,persistence_locf,3408,9,36,1.0248862281910271,0.7344602251978244,7014,True
sepsis,persistence_locf,3408,10,40,1.0286868566791074,0.7335522870430549,6925,True
sepsis,persistence_locf,3408,11,44,1.0449729977928832,0.7363943305564155,7151,True
sepsis,hgb_residual,3408,1,4,0.7590618998755059,0.5025857229419944,9058,True
sepsis,hgb_residual,3408,2,8,0.773200823972176,0.5437920822616807,8849,True
sepsis,hgb_residual,3408,3,12,0.8300254711080198,0.5824696320741041,8494,True
sepsis,hgb_residual,3408,4,16,0.8719554265211359,0.6186766111145507,8224,True
sepsis,hgb_residual,3408,5,20,0.8460218943885218,0.6294867165255621,8329,True
sepsis,hgb_residual,3408,6,24,0.8724529232804664,0.6603271704988574,8098,True
sepsis,hgb_residual,3408,7,28,0.8967522228596811,0.6872114274014666,7527,True
sepsis,hgb_residual,3408,8,32,0.8924477691100654,0.6928985665377183,7737,True
sepsis,hgb_residual,3408,9,36,0.9195569354630356,0.714928576714711,7014,True
sepsis,hgb_residual,3408,10,40,0.9172696148887624,0.7245074331079324,6925,True
sepsis,hgb_residual,3408,11,44,0.93804319675335,0.7345971036213874,7151,True
sepsis,hgb_residual,3411,1,4,0.7600521032616505,0.5025811372055017,9058,True
sepsis,hgb_residual,3411,2,8,0.7722214772254868,0.5415930306411673,8849,True
sepsis,hgb_residual,3411,3,12,0.8315797115932673,0.5801353914395039,8494,True
