shared_model_count,spearman_rho,spearman_ci95_low,spearman_ci95_high,kendall_tau,kendall_ci95_low,kendall_ci95_high,mean_absolute_rank_change,max_absolute_rank_change,model_rank_flip_count,pairwise_rank_flip_count,pairwise_rank_flip_rate,reference_top_model,candidate_top_model,top_model_changed,seed_rank_variation,contract_rank_variation,contract_to_seed_variation_ratio,contract_variation_exceeds_seed,bootstrap_samples,claim_boundary,contract_id,frozen_task_id,card_id,cohort_label,action_view,action_level,timing_convention,frozen_reference,leakage_negative_control,comparison_axis,reference_contract_id,evaluation_mode
11,0.25057012616801283,0.03189074333047437,0.3963563813930385,0.11009637651263605,0.03669879217087869,0.2201927530252721,3.272727272727273,6.0,10,25,0.45454545454545453,clean_world_model_transition,ridge_residual,True,1.059890959920132,3.272727272727273,3.0877961945952337,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__action_binary,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__binary,binary,current_window,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__action_binary::one_step,one_step_vs_open_loop
11,0.2961283309258334,0.13211879379767952,0.350798176635218,0.14679516868351475,0.07339758434175737,0.18349396085439343,3.272727272727273,7.0,11,24,0.43636363636363634,clean_world_model_transition,ridge_residual,True,0.7797953193696899,3.272727272727273,4.196905510246746,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__action_three_bin,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__three_bin,three_bin,current_window,True,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__action_three_bin::one_step,one_step_vs_open_loop
11,0.19590028045862823,0.013667461427346159,0.2779050490227052,0.11009637651263605,0.0,0.14679516868351475,3.4545454545454546,7.0,10,25,0.45454545454545453,clean_world_model_transition,dreamer_v3_categorical_rssm,True,1.0241072037193057,3.4545454545454546,3.3732263985639337,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__action_five_bin,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__five_bin,five_bin,current_window,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__action_five_bin::one_step,one_step_vs_open_loop
11,0.3234632537805257,0.04100238428203847,0.3963563813930385,0.18349396085439343,0.0,0.2568915451961508,3.090909090909091,6.0,10,23,0.41818181818181815,clean_world_model_transition,ridge_residual,True,1.0126242527507296,3.090909090909091,3.052375135705897,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__action_factorized,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,factorized_2_action_three_bin,factorized,current_window,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__action_factorized::one_step,one_step_vs_open_loop
11,0.25057012616801283,0.06833730713673078,0.3781330994899103,0.11009637651263605,0.0,0.2201927530252721,3.272727272727273,6.0,10,25,0.45454545454545453,clean_world_model_transition,ridge_residual,True,0.9788887894157544,3.272727272727273,3.343308563867185,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__timing_previous_window,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__binary,binary,previous_window,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__timing_previous_window::one_step,one_step_vs_open_loop
11,0.25057012616801283,0.1138955118945513,0.3963563813930385,0.11009637651263605,0.0,0.2201927530252721,3.272727272727273,6.0,10,25,0.45454545454545453,clean_world_model_transition,ridge_residual,True,0.92455088201163,3.272727272727273,3.539802228738888,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__timing_cumulative_8h,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__binary,binary,cumulative_8h,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__timing_cumulative_8h::one_step,one_step_vs_open_loop
11,0.25057012616801283,0.05922566618516668,0.3963563813930385,0.11009637651263605,0.0,0.2201927530252721,3.272727272727273,6.0,10,25,0.45454545454545453,clean_world_model_transition,ridge_residual,True,1.03692505798298,3.272727272727273,3.1561849600716188,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__timing_cumulative_12h,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__binary,binary,cumulative_12h,False,False,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__timing_cumulative_12h::one_step,one_step_vs_open_loop
11,0.25057012616801283,0.10478387094298722,0.3781330994899103,0.11009637651263605,0.03669879217087869,0.2201927530252721,3.272727272727273,6.0,10,25,0.45454545454545453,clean_world_model_transition,ridge_residual,True,0.8769881832093628,3.272727272727273,3.731780353927502,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_sepsis_vasopressor_3bin__timing_next_window_negative_control,kdd2027_sepsis_vasopressor_3bin,sepsis_reference,Sepsis reference,vasopressor__binary,binary,next_window_negative_control,False,True,forecast_horizon,kdd2027_sepsis_vasopressor_3bin__timing_next_window_negative_control::one_step,one_step_vs_open_loop
11,-0.06378148666094874,-0.25512594664379495,-0.06378148666094874,-0.03669879217087869,-0.14679516868351475,-0.03669879217087869,3.909090909090909,8.0,10,29,0.5272727272727272,previous_window_distinct,dreamer_v3_categorical_rssm,True,0.6572922690941488,3.909090909090909,5.947264394997747,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_respiratory_peep_5bin__action_binary,kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,Respiratory failure / ventilation,peep_setting__binary,binary,current_window,False,False,forecast_horizon,kdd2027_respiratory_peep_5bin__action_binary::one_step,one_step_vs_open_loop
11,-0.06378148666094874,-0.18223281903128208,-0.027334922854692318,-0.03669879217087869,-0.14679516868351475,-0.03669879217087869,4.090909090909091,8.0,11,29,0.5272727272727272,previous_window_distinct,dreamer_v3_categorical_rssm,True,0.9288179887958805,4.090909090909091,4.4044249145223215,True,1000,"Benchmark contract sensitivity, recorded-trajectory forecasting, uncertainty, support, and evaluability diagnostics only. Treatment, causal, counterfactual, clinical-utility, policy-optimization, and autonomous-decision claims remain blocked.",kdd2027_respiratory_peep_5bin__action_three_bin,kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,Respiratory failure / ventilation,peep_setting__three_bin,three_bin,current_window,False,False,forecast_horizon,kdd2027_respiratory_peep_5bin__action_three_bin::one_step,one_step_vs_open_loop
