task_id,comparison_axis,ope_metric,left_denominator,right_denominator,policy_count,rank_spearman,left_top_policy,right_top_policy,top_policy_agreement,winner_declaration_allowed,interpretation,claim_boundary
kdd2027_ami_hemodynamic_compact_3bin,behavior_denominator,wis,knn_frequency,nn_classifier,57,0.42849732533635915,local_naive_controls__max_action,local_naive_controls__max_action,True,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_ami_hemodynamic_compact_3bin,behavior_denominator,wpdis,knn_frequency,nn_classifier,57,0.04571095117681384,local_dqn__seed_3411,local_dqn__seed_3411,True,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_hf_diuretic_binary,behavior_denominator,wis,knn_frequency,nn_classifier,57,0.14173636776243273,soft_spibb__seed_3408,local_naive_controls__max_action,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_hf_diuretic_binary,behavior_denominator,wpdis,knn_frequency,nn_classifier,57,0.5144913440964791,local_dqn__seed_3411,d3rlpy_discrete_bcq__seed_3411,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_respiratory_peep_5bin,behavior_denominator,wis,knn_frequency,nn_classifier,55,0.7821725009022014,d3rlpy_dqn__seed_3408,local_naive_controls__max_action,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_respiratory_peep_5bin,behavior_denominator,wpdis,knn_frequency,nn_classifier,55,0.784770840851678,local_dqn__seed_3408,local_dqn__seed_3408,True,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_sepsis_vasopressor_3bin,behavior_denominator,wis,knn_frequency,nn_classifier,57,0.34137327368216297,spibb__seed_3414,local_dqn__seed_3411,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_sepsis_vasopressor_3bin,behavior_denominator,wpdis,knn_frequency,nn_classifier,57,0.34811644945860076,d3rlpy_nfq__seed_3411,spibb__seed_3414,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_shock_fluid_bolus_binary,behavior_denominator,wis,knn_frequency,nn_classifier,57,0.5569603838423134,spibb__seed_3408,d3rlpy_dqn__seed_3414,False,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_shock_fluid_bolus_binary,behavior_denominator,wpdis,knn_frequency,nn_classifier,57,0.6652402256370354,spibb__seed_3408,spibb__seed_3408,True,False,denominator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_ami_hemodynamic_compact_3bin,ope_estimator,wis_vs_wpdis,knn_frequency,knn_frequency,57,0.7539835633416699,local_naive_controls__max_action,local_dqn__seed_3411,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_ami_hemodynamic_compact_3bin,ope_estimator,wis_vs_wpdis,nn_classifier,nn_classifier,57,0.5577799031385575,local_naive_controls__max_action,local_dqn__seed_3411,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_hf_diuretic_binary,ope_estimator,wis_vs_wpdis,knn_frequency,knn_frequency,57,0.5664267652207742,soft_spibb__seed_3408,local_dqn__seed_3411,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_hf_diuretic_binary,ope_estimator,wis_vs_wpdis,nn_classifier,nn_classifier,57,0.775400376061726,local_naive_controls__max_action,d3rlpy_discrete_bcq__seed_3411,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_respiratory_peep_5bin,ope_estimator,wis_vs_wpdis,knn_frequency,knn_frequency,55,0.9750270660411404,d3rlpy_dqn__seed_3408,local_dqn__seed_3408,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_respiratory_peep_5bin,ope_estimator,wis_vs_wpdis,nn_classifier,nn_classifier,55,0.9661494045470949,local_naive_controls__max_action,local_dqn__seed_3408,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_sepsis_vasopressor_3bin,ope_estimator,wis_vs_wpdis,knn_frequency,knn_frequency,57,0.9494261816767164,spibb__seed_3414,d3rlpy_nfq__seed_3411,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_sepsis_vasopressor_3bin,ope_estimator,wis_vs_wpdis,nn_classifier,nn_classifier,57,0.9651818712312779,local_dqn__seed_3411,spibb__seed_3414,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_shock_fluid_bolus_binary,ope_estimator,wis_vs_wpdis,knn_frequency,knn_frequency,57,0.9798353108993062,spibb__seed_3408,spibb__seed_3408,True,False,estimator_agreement_diagnostic_only,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
kdd2027_shock_fluid_bolus_binary,ope_estimator,wis_vs_wpdis,nn_classifier,nn_classifier,57,0.9858652661609282,d3rlpy_dqn__seed_3414,spibb__seed_3408,False,False,estimator_ranking_disagreement_no_policy_winner,"Offline policy and OPE diagnostics under the frozen benchmark contract only. Treatment recommendation, causal value, counterfactual benefit, policy optimization, clinical utility, and autonomous-decision claims remain blocked."
