cohort,method,horizon,hours,rmse,persistence_rmse,relative_rmse
aki,categorical_rssm,1.0,4.0,0.8212656776110331,0.8678418397903442,0.9463310478432762
aki,categorical_rssm,2.0,8.0,0.8640387654304504,0.918504238128662,0.9407019908703109
aki,categorical_rssm,3.0,12.0,0.9036638538042704,0.9639700651168824,0.937439746839753
aki,categorical_rssm,4.0,16.0,0.9078219334284464,0.9729104042053224,0.9330992139712593
aki,categorical_rssm,5.0,20.0,0.9346096515655518,0.9840272068977356,0.9497802957217223
aki,categorical_rssm,6.0,24.0,0.9418316086133321,0.9879341721534728,0.9533343770874455
aki,categorical_rssm,7.0,28.0,0.9727083444595337,1.0190294981002808,0.9545438540031461
aki,categorical_rssm,8.0,32.0,0.9839215874671936,1.0173434019088743,0.9671479518332057
aki,categorical_rssm,9.0,36.0,1.0211363633473713,1.0438804626464844,0.9782119695568865
aki,categorical_rssm,10.0,40.0,1.0666950543721516,1.0709978342056274,0.9959824570171356
aki,causal_transformer,1.0,4.0,0.7653431296348572,0.8678418397903442,0.8818924077453456
aki,causal_transformer,2.0,8.0,0.8370956579844157,0.918504238128662,0.9113683129975467
aki,causal_transformer,3.0,12.0,0.9683924118677775,0.9639700651168824,1.0045876390885218
aki,causal_transformer,4.0,16.0,1.119656244913737,0.9729104042053224,1.150831813571032
aki,causal_transformer,5.0,20.0,1.2825173139572144,0.9840272068977356,1.3033352177329576
aki,causal_transformer,6.0,24.0,1.4648486773173015,0.9879341721534728,1.482739152674781
aki,causal_transformer,7.0,28.0,1.7329436143239338,1.0190294981002808,1.7005823850580999
aki,causal_transformer,8.0,32.0,1.92279056708018,1.0173434019088743,1.890011340784622
aki,causal_transformer,9.0,36.0,2.1563403606414795,1.0438804626464844,2.065696636542699
aki,causal_transformer,10.0,40.0,2.4331942399342856,1.0709978342056274,2.271894640887875
aki,deterministic_grud_point,1.0,4.0,0.7455600102742513,0.8678418397903442,0.8590966419115791
aki,deterministic_grud_point,2.0,8.0,0.8297031919161478,0.918504238128662,0.9033199385193527
aki,deterministic_grud_point,3.0,12.0,0.9619043072064718,0.9639700651168824,0.9978570310581583
aki,deterministic_grud_point,4.0,16.0,1.0583467483520508,0.9729104042053224,1.087815223043599
aki,deterministic_grud_point,5.0,20.0,1.1450587908426921,0.9840272068977356,1.1636454590037486
aki,deterministic_grud_point,6.0,24.0,1.2108970483144124,0.9879341721534728,1.2256859641517723
aki,deterministic_grud_point,7.0,28.0,1.260836084683736,1.0190294981002808,1.2372910568675801
aki,deterministic_grud_point,8.0,32.0,1.2981956402460735,1.0173434019088743,1.2760643434755925
aki,deterministic_grud_point,9.0,36.0,1.339645783106486,1.0438804626464844,1.283332556785445
aki,deterministic_grud_point,10.0,40.0,1.3701407512029011,1.0709978342056274,1.279312345406517
aki,hgb_residual,1.0,4.0,0.7462763786315918,0.8678418397903442,0.8599221014878464
aki,hgb_residual,2.0,8.0,0.7939414978027344,0.918504238128662,0.864385230731533
aki,hgb_residual,3.0,12.0,0.8552741408348083,0.9639700651168824,0.8872413903549021
aki,hgb_residual,4.0,16.0,0.8755384087562561,0.9729104042053224,0.8999167908697614
aki,hgb_residual,5.0,20.0,0.926270067691803,0.9840272068977356,0.9413053431845457
aki,hgb_residual,6.0,24.0,0.9569681286811828,0.9879341721534728,0.9686557623522718
aki,hgb_residual,7.0,28.0,0.9809383153915404,1.0190294981002808,0.9626201373171713
aki,hgb_residual,8.0,32.0,1.011874437332153,1.0173434019088743,0.9946242688884996
aki,hgb_residual,9.0,36.0,1.043988823890686,1.0438804626464844,1.0001038061809557
aki,hgb_residual,10.0,40.0,1.0853053331375122,1.0709978342056274,1.0133590362883385
aki,matched_gaussian_ensemble,1.0,4.0,0.754621148109436,0.8678418397903442,0.8695376432781111
aki,matched_gaussian_ensemble,2.0,8.0,0.8353925943374634,0.918504238128662,0.9095141422966886
aki,matched_gaussian_ensemble,3.0,12.0,0.97701096534729,0.9639700651168824,1.013528324895469
aki,matched_gaussian_ensemble,4.0,16.0,1.078044891357422,0.9729104042053224,1.1080618386828478
aki,matched_gaussian_ensemble,5.0,20.0,1.148030161857605,0.9840272068977356,1.1666650615046594
aki,matched_gaussian_ensemble,6.0,24.0,1.211927890777588,0.9879341721534728,1.2267293964899093
aki,matched_gaussian_ensemble,7.0,28.0,1.275877833366394,1.0190294981002808,1.2520519138503263
aki,matched_gaussian_ensemble,8.0,32.0,1.2934396266937256,1.0173434019088743,1.2713894091875004
aki,matched_gaussian_ensemble,9.0,36.0,1.328302025794983,1.0438804626464844,1.2724656446078342
aki,matched_gaussian_ensemble,10.0,40.0,1.3703514337539673,1.0709978342056274,1.279509061538275
aki,persistence_locf,1.0,4.0,0.8678418397903442,0.8678418397903442,1.0
aki,persistence_locf,2.0,8.0,0.918504238128662,0.918504238128662,1.0
aki,persistence_locf,3.0,12.0,0.9639700651168824,0.9639700651168824,1.0
aki,persistence_locf,4.0,16.0,0.9729104042053224,0.9729104042053224,1.0
aki,persistence_locf,5.0,20.0,0.9840272068977356,0.9840272068977356,1.0
aki,persistence_locf,6.0,24.0,0.9879341721534728,0.9879341721534728,1.0
aki,persistence_locf,7.0,28.0,1.0190294981002808,1.0190294981002808,1.0
aki,persistence_locf,8.0,32.0,1.0173434019088743,1.0173434019088743,1.0
aki,persistence_locf,9.0,36.0,1.0438804626464844,1.0438804626464844,1.0
aki,persistence_locf,10.0,40.0,1.0709978342056274,1.0709978342056274,1.0
aki,single_gaussian_grud,1.0,4.0,0.7581528822580973,0.8678418397903442,0.8736072029452441
aki,single_gaussian_grud,2.0,8.0,0.8464586933453878,0.918504238128662,0.9215620986898677
aki,single_gaussian_grud,3.0,12.0,1.0096467932065327,0.9639700651168824,1.0473839694224445
aki,single_gaussian_grud,4.0,16.0,1.1333561340967815,0.9729104042053224,1.1649131607576053
aki,single_gaussian_grud,5.0,20.0,1.2176618576049805,0.9840272068977356,1.2374270234293687
aki,single_gaussian_grud,6.0,24.0,1.291123867034912,0.9879341721534728,1.3068926082600771
aki,single_gaussian_grud,7.0,28.0,1.3613810141881306,1.0190294981002808,1.335958396421376
aki,single_gaussian_grud,8.0,32.0,1.3841110070546467,1.0173434019088743,1.3605150477779622
aki,single_gaussian_grud,9.0,36.0,1.4221911430358887,1.0438804626464844,1.3624080475941633
aki,single_gaussian_grud,10.0,40.0,1.465337594350179,1.0709978342056274,1.368198466467524
heart_failure,categorical_rssm,1.0,4.0,0.7513171434402466,0.9097422957420348,0.8258571102571766
heart_failure,categorical_rssm,2.0,8.0,0.7736039559046427,0.9373456239700316,0.825313455487339
heart_failure,categorical_rssm,3.0,12.0,0.8186911940574646,0.9675238728523254,0.8461715695385458
heart_failure,categorical_rssm,4.0,16.0,0.8478987216949463,1.0053906440734863,0.8433525084931777
heart_failure,categorical_rssm,5.0,20.0,0.8567562103271484,0.9673373103141784,0.8856850668241932
heart_failure,categorical_rssm,6.0,24.0,0.9307893117268881,1.0206668376922607,0.9119423472515412
heart_failure,categorical_rssm,7.0,28.0,0.9217946728070577,1.000253200531006,0.9215613329881904
heart_failure,categorical_rssm,8.0,32.0,0.9723582069079081,0.9918059706687928,0.9803915641405437
heart_failure,categorical_rssm,9.0,36.0,1.0362588167190552,1.0335336923599243,1.0026367058754595
heart_failure,categorical_rssm,10.0,40.0,1.067016839981079,1.0478250980377195,1.0183157876054891
heart_failure,causal_transformer,1.0,4.0,0.6937557657559713,0.9097422957420348,0.7625849309227805
heart_failure,causal_transformer,2.0,8.0,0.7152569890022278,0.9373456239700316,0.7630664407146106
heart_failure,causal_transformer,3.0,12.0,0.7781127492586771,0.9675238728523254,0.8042310593998558
heart_failure,causal_transformer,4.0,16.0,0.8386397759119669,1.0053906440734863,0.8341432067779107
heart_failure,causal_transformer,5.0,20.0,0.9206026395161947,0.9673373103141784,0.9516873066926315
heart_failure,causal_transformer,6.0,24.0,1.053465207417806,1.0206668376922607,1.0321342562669154
heart_failure,causal_transformer,7.0,28.0,1.1112560431162517,1.000253200531006,1.1109747437212072
heart_failure,causal_transformer,8.0,32.0,1.2237629890441895,0.9918059706687928,1.2338733837415636
heart_failure,causal_transformer,9.0,36.0,1.321637471516927,1.0335336923599243,1.2787560592235359
heart_failure,causal_transformer,10.0,40.0,1.3955639600753784,1.0478250980377195,1.3318672769805528
heart_failure,deterministic_grud_point,1.0,4.0,0.6810754537582397,0.9097422957420348,0.7486465749102255
heart_failure,deterministic_grud_point,2.0,8.0,0.7216911315917969,0.9373456239700316,0.7699306564585513
heart_failure,deterministic_grud_point,3.0,12.0,0.8233143091201782,0.9675238728523254,0.8509498651366527
heart_failure,deterministic_grud_point,4.0,16.0,0.8957191705703735,1.0053906440734863,0.890916556515025
heart_failure,deterministic_grud_point,5.0,20.0,0.9703545769055685,0.9673373103141784,1.0031191462990403
heart_failure,deterministic_grud_point,6.0,24.0,1.0610324144363403,1.0206668376922607,1.039548239693323
heart_failure,deterministic_grud_point,7.0,28.0,1.0724271535873413,1.000253200531006,1.0721556831990342
heart_failure,deterministic_grud_point,8.0,32.0,1.117396394411723,0.9918059706687928,1.1266280174319199
heart_failure,deterministic_grud_point,9.0,36.0,1.1509646972020466,1.0335336923599243,1.113620877297174
heart_failure,deterministic_grud_point,10.0,40.0,1.1618868509928386,1.0478250980377195,1.108855717589438
heart_failure,hgb_residual,1.0,4.0,0.683883547782898,0.9097422957420348,0.7517332666445784
heart_failure,hgb_residual,2.0,8.0,0.7132066488265991,0.9373456239700316,0.7608790510013641
heart_failure,hgb_residual,3.0,12.0,0.766343355178833,0.9675238728523254,0.7920666111520341
heart_failure,hgb_residual,4.0,16.0,0.8267776966094971,1.0053906440734863,0.8223447288704488
heart_failure,hgb_residual,5.0,20.0,0.8537804484367371,0.9673373103141784,0.8826088266557613
heart_failure,hgb_residual,6.0,24.0,0.9239954948425292,1.0206668376922607,0.905286094071297
heart_failure,hgb_residual,7.0,28.0,0.9285264611244202,1.000253200531006,0.9282914172446455
heart_failure,hgb_residual,8.0,32.0,0.9620130062103271,0.9918059706687928,0.9699608942277533
heart_failure,hgb_residual,9.0,36.0,1.0189231634140017,1.0335336923599243,0.9858635194440912
heart_failure,hgb_residual,10.0,40.0,1.0050880908966064,1.0478250980377195,0.9592136061436709
heart_failure,matched_gaussian_ensemble,1.0,4.0,0.6978665590286255,0.9097422957420348,0.767103565806411
heart_failure,matched_gaussian_ensemble,2.0,8.0,0.7268262505531311,0.9373456239700316,0.7754090187936578
heart_failure,matched_gaussian_ensemble,3.0,12.0,0.8284230828285217,0.9675238728523254,0.8562301211093374
heart_failure,matched_gaussian_ensemble,4.0,16.0,0.9292712807655334,1.0053906440734863,0.9242887689907833
heart_failure,matched_gaussian_ensemble,5.0,20.0,1.0121934413909912,0.9673373103141784,1.0463707236333561
heart_failure,matched_gaussian_ensemble,6.0,24.0,1.0963214635849,1.0206668376922607,1.07412274318983
heart_failure,matched_gaussian_ensemble,7.0,28.0,1.0981580018997192,1.000253200531006,1.0978800180961563
heart_failure,matched_gaussian_ensemble,8.0,32.0,1.124163269996643,0.9918059706687928,1.1334507990898657
heart_failure,matched_gaussian_ensemble,9.0,36.0,1.1599912643432615,1.0335336923599243,1.1223545714262972
heart_failure,matched_gaussian_ensemble,10.0,40.0,1.1885515451431274,1.0478250980377195,1.134303375027902
heart_failure,persistence_locf,1.0,4.0,0.9097422957420348,0.9097422957420348,1.0
heart_failure,persistence_locf,2.0,8.0,0.9373456239700316,0.9373456239700316,1.0
heart_failure,persistence_locf,3.0,12.0,0.9675238728523254,0.9675238728523254,1.0
heart_failure,persistence_locf,4.0,16.0,1.0053906440734863,1.0053906440734863,1.0
heart_failure,persistence_locf,5.0,20.0,0.9673373103141784,0.9673373103141784,1.0
heart_failure,persistence_locf,6.0,24.0,1.0206668376922607,1.0206668376922607,1.0
heart_failure,persistence_locf,7.0,28.0,1.000253200531006,1.000253200531006,1.0
heart_failure,persistence_locf,8.0,32.0,0.9918059706687928,0.9918059706687928,1.0
heart_failure,persistence_locf,9.0,36.0,1.0335336923599243,1.0335336923599243,1.0
heart_failure,persistence_locf,10.0,40.0,1.0478250980377195,1.0478250980377195,1.0
heart_failure,single_gaussian_grud,1.0,4.0,0.701327919960022,0.9097422957420348,0.7709083366163394
heart_failure,single_gaussian_grud,2.0,8.0,0.741421123345693,0.9373456239700316,0.79097944705335
heart_failure,single_gaussian_grud,3.0,12.0,0.8707549571990967,0.9675238728523254,0.8999829168370311
heart_failure,single_gaussian_grud,4.0,16.0,1.0062554677327473,1.0053906440734863,1.0008601866989304
heart_failure,single_gaussian_grud,5.0,20.0,1.1164016723632812,0.9673373103141784,1.1540976042789963
heart_failure,single_gaussian_grud,6.0,24.0,1.2190022468566895,1.0206668376922607,1.1943194408205398
heart_failure,single_gaussian_grud,7.0,28.0,1.239587426185608,1.000253200531006,1.239273641441533
heart_failure,single_gaussian_grud,8.0,32.0,1.2751259803771973,0.9918059706687928,1.2856607220436036
heart_failure,single_gaussian_grud,9.0,36.0,1.3193252484003704,1.0335336923599243,1.2765188577334934
heart_failure,single_gaussian_grud,10.0,40.0,1.3545783758163452,1.0478250980377195,1.2927523671203218
respiratory,categorical_rssm,1.0,4.0,0.8289856314659119,0.9526532292366028,0.8701861349173293
respiratory,categorical_rssm,2.0,8.0,0.8876823385556539,1.0086735486984253,0.8800491890573553
respiratory,categorical_rssm,3.0,12.0,0.954989492893219,1.061729073524475,0.899466273183113
respiratory,categorical_rssm,4.0,16.0,0.9819427728652954,1.0732355117797852,0.9149369006965715
