cohort,policy_family,policy,method_label,median_ess_fraction,IS,WIS,CWPDIS,DR,WDR,FQE
sepsis,control,empirical_behavior,Behavior,1.0,0.3057382744380387,0.3057382744380387,0.7239679067261292,0.3955240214873692,-0.4465398952571693,3.2801221495147748
sepsis,control,supported_random,Supported random,0.0015127144908467,0.0779696886023876,0.3707061656491585,-0.5825263841431809,0.0118262787712334,-1.9584082744883775,1.188139466438954
sepsis,control,fixed_minimum_action,Minimum action,0.1465706309227072,0.0713106946695706,0.3002788228352174,0.5170181299963262,2.878711536143238,-1.003538843341124,4.325959544294202
sepsis,control,fixed_maximum_action,Maximum action,0.000612204917798,-0.0032444434758106,-0.3446493207493428,0.287608439806148,-3.4274751374489463,-0.10887153452538,-4.256108306058382
sepsis,control,state_dependent_severity_rule,Severity rule,0.0074196744115068,0.0106650930116219,0.2902932395204066,0.9301902452815416,-0.3237324697029667,-2.2899934290817763,-0.6972538938528929
sepsis,model_free,behavior_cloning,Behavior cloning,0.003254466347571,-2.539846252863685,-0.008756117620565709,0.8447512075411096,-194.72135351718498,-1.7182623409690052,3.190570701338387
sepsis,model_free,decision_transformer,Decision Transformer,0.0046570201252473,62.103405592058,0.3861839926490935,0.8321310271546251,-105.81404182604012,-1.7401447713420881,3.2595617609694583
sepsis,model_free,discrete_bcq,Discrete BCQ,0.0161660550030517,0.046411953189818535,0.2033631098947376,0.5061838406529823,0.4848778788745573,-1.7520676399749757,3.246584722403233
sepsis,model_free,discrete_cql,Discrete CQL,0.0017271588886506,113.54238198119623,0.16170243840848705,0.8133426974486015,-617.8249068602286,-2.0105365278570604,3.1906990274121916
sepsis,model_free,discrete_iql,Discrete IQL,0.0012589507480776,16.182147323522138,0.06178919206984124,0.8722131190785148,-296.95136969963045,-1.606315550122251,3.2046281463758137
sepsis,model_free,soft_spibb,Count-blend adapter,0.0017545424784402,116.31337096923482,0.17041446029788862,0.8098395874358667,-597.1206492157564,-2.0227644667706435,3.1936173601585924
respiratory,control,empirical_behavior,Behavior,1.0,1.4091926969025077,1.4091926969025077,,1.3691102732018476,,2.2539682911805445
respiratory,control,supported_random,Supported random,0.0026782350008991,4.932637798425109,2.4774691742255097,,11.731144099506114,,2.850590984605407
respiratory,control,fixed_minimum_action,Minimum action,0.157909457935181,9.013402493449927e-32,0.570850556815562,,2.682020494167384e-32,,0.0
respiratory,control,fixed_maximum_action,Maximum action,0.0290738781853045,0.853722470395471,2.8534810883515287,,-177.93761628358382,,4.210757872099002
respiratory,control,state_dependent_severity_rule,Severity rule,0.0106095337519063,0.1796264260115052,1.8537013098114603,,-34.932501608385536,,3.6317462138947234
respiratory,model_free,behavior_cloning,Behavior cloning,0.000802467737177,23964.66825807795,3.741314246602156,,-18.532987269072237,,2.30916740713197
respiratory,model_free,decision_transformer,Decision Transformer,0.000930777355724,7163.033434147838,1.9924359467564432,,-2966.639486627968,,2.3038744925302646
respiratory,model_free,discrete_bcq,Discrete BCQ,0.0004383018208041,52.12154972090193,3.2561449039156938,,47.83580040439665,,2.3996477286824534
