method,method_family,method_role,normalized_profile_equal_mean,normalized_environment_bootstrap_ci_lower,normalized_environment_bootstrap_ci_upper,convergence_incomplete_rows,profile_equal_mean_difference,bonferroni_ci_lower,bonferroni_ci_upper,holm_adjusted_sign_p,multiplicity_corrected_disposition
behavior,control,simple_control,0.0630069736549496,0.0623290394215582,0.0636582219454234,0,,,,,
behavior_cloning,model_free,learned_policy,0.0583091589889271,0.0572658096762101,0.0594102978498521,0,-0.0485977836593082,-0.0503890027393105,-0.0467862674529255,1.4188117347657678e-10,lower_on_tested_constructed_family
categorical_rssm_plus_h4_support_only,model_based,h4_support_only_planner,0.0785168286715509,0.0771313797903759,0.079909034434482,49,-0.0283901139766844,-0.0301854008031765,-0.0265597062805299,1.4188117347657678e-10,lower_on_tested_constructed_family
causal_transformer_plus_h4_support_only,model_based,h4_support_only_planner,0.0810882775490827,0.0799942487771551,0.0822061492449369,120,-0.0258186650991526,-0.027010818010159,-0.0244843760639927,1.4188117347657678e-10,lower_on_tested_constructed_family
decision_transformer,model_free,learned_policy,0.0573290107204112,0.0559524165855848,0.058660838470448,0,-0.0495779319278241,-0.0517265534475101,-0.0472597121644191,1.4188117347657678e-10,lower_on_tested_constructed_family
deterministic_grud_point_plus_h4_support_only,model_based,h4_support_only_planner,0.081924467839521,0.0803523870003931,0.0836306283752386,61,-0.0249824748087143,-0.0269510803682008,-0.0224402982869209,1.4188117347657678e-10,lower_on_tested_constructed_family
discrete_bcq,model_free,learned_policy,0.0639144332897585,0.0625092526866822,0.065250057698369,49,-0.0429925093584768,-0.0449665738099767,-0.0410786997900687,1.4188117347657678e-10,lower_on_tested_constructed_family
discrete_cql,model_free,learned_policy,0.0540113559625573,0.0529202273143327,0.0550764731995692,0,-0.052895586685678,-0.0550142153921952,-0.0508741565354604,1.4188117347657678e-10,lower_on_tested_constructed_family
discrete_iql,model_free,learned_policy,0.058997553493744,0.0578896466456434,0.0600937195552773,0,-0.0479093891544913,-0.0497754871250536,-0.0460055868457414,1.4188117347657678e-10,lower_on_tested_constructed_family
hgb_residual_plus_h4_support_only,model_based,h4_support_only_planner,0.080291811244906,0.0766573258458036,0.0837816712053007,0,-0.0266151314033293,-0.0329585767205081,-0.0210249337269606,1.4188117347657678e-10,lower_on_tested_constructed_family
history_only_true_model_planner,reference,history_only_true_model_reference,0.1004500057268175,0.0991829923209412,0.1016788570623703,0,,,,,
matched_gaussian_ensemble_plus_h4_support_only,model_based,h4_support_only_planner,0.080073961873459,0.0788292074332513,0.0813338132527315,6,-0.0268329807747762,-0.0281841678527559,-0.0252572077189396,1.4188117347657678e-10,lower_on_tested_constructed_family
maximum,control,simple_control,0.0009860159376475,-0.0001652210592497,0.0021081850620394,0,,,,,
minimum,control,simple_control,0.0737737289150063,0.0726753078002917,0.07488664018847,0,,,,,
persistence_locf_plus_h4_support_only,model_based,h4_support_only_planner,0.0806610105314041,0.0794756652661484,0.0818800232658921,0,-0.0262459321168312,-0.0276897059060808,-0.0248409628057997,1.4188117347657678e-10,lower_on_tested_constructed_family
privileged_latent_state_oracle,reference,privileged_latent_state_upper_bound,0.1232757593038897,0.1224583694152167,0.124150649994395,0,,,,,
severity,control,simple_control,0.1069069426482353,0.1060191862315944,0.1078854051107964,0,,,,,
single_gaussian_grud_plus_h4_support_only,model_based,h4_support_only_planner,0.080586210310588,0.0793371679924844,0.0818241656456715,12,-0.0263207323376473,-0.0278110564949533,-0.0247250640962801,1.4188117347657678e-10,lower_on_tested_constructed_family
spibb_style_count_blend_adapter,model_free,learned_policy,0.0519887773842327,0.05114801596849,0.0528506181453653,1,-0.0549181652640026,-0.0562962480391037,-0.0533885192106016,1.4188117347657678e-10,lower_on_tested_constructed_family
supported_random,control,simple_control,0.0459562428657114,0.0451040846242522,0.0467604197833773,0,,,,,
