artifact_id,expected_sha256,clean_clone_sha256,parity,kdd211_parity_status
five_task_transition_source,0c7b81cc5102ac5546ba4a99742ff93576445d6250db904e5bc5163ae8a6c6f9,0c7b81cc5102ac5546ba4a99742ff93576445d6250db904e5bc5163ae8a6c6f9,exact,current_lineage_aggregate_safe_addition
five_task_transition_table,15379fa0259c09107bb225a18a2b1517cb76924b4ef0a22334881fa53d7db328,15379fa0259c09107bb225a18a2b1517cb76924b4ef0a22334881fa53d7db328,exact,current_lineage_aggregate_safe_addition
five_task_policy_source,c39fc4131ecf16d8154e00be38239c0c8ed260dc6545fd5ed72e5dd793cdd564,c39fc4131ecf16d8154e00be38239c0c8ed260dc6545fd5ed72e5dd793cdd564,exact,current_lineage_aggregate_safe_addition
five_task_policy_table,96d7d50b7c54d594692f1c3d3eefb43536e562cb0dac066ef7c600093204f9ed,96d7d50b7c54d594692f1c3d3eefb43536e562cb0dac066ef7c600093204f9ed,exact,current_lineage_aggregate_safe_addition
five_task_ope_source,c8ef3ec7ebaf77360ff1817122f2ee66b0d47617fd2c31f54d3e846a288f9521,c8ef3ec7ebaf77360ff1817122f2ee66b0d47617fd2c31f54d3e846a288f9521,exact,current_lineage_aggregate_safe_addition
five_task_ope_table,908874bdd109b13da59896e1ca68b9d24a058613b9143c85f3e940c58fc344ea,908874bdd109b13da59896e1ca68b9d24a058613b9143c85f3e940c58fc344ea,exact,current_lineage_aggregate_safe_addition
paired_method_source,9b4d182b4f7a63d86c45d70af2c209d1b0d47fd37c67b7ce9651028df57cb49d,9b4d182b4f7a63d86c45d70af2c209d1b0d47fd37c67b7ce9651028df57cb49d,exact,exact_kdd211_source_manifest
paired_method_table,82e326c5bfa33e34c5b726f646476e4c0c572b30f499381da4defd6c39c9bb95,82e326c5bfa33e34c5b726f646476e4c0c572b30f499381da4defd6c39c9bb95,exact,exact_kdd211_source_manifest
paired_estimator_source,f7ff8bd2b1d45159c94d33e60d7f43d4438f43591591886733cb8438d23b82d0,f7ff8bd2b1d45159c94d33e60d7f43d4438f43591591886733cb8438d23b82d0,exact,exact_kdd211_source_manifest
paired_estimator_table,ad6ebeab6edcc04608cb6b1fb0e05ade78ebd6518a2d175c489cf6a20a6bf159,ad6ebeab6edcc04608cb6b1fb0e05ade78ebd6518a2d175c489cf6a20a6bf159,exact,exact_kdd211_source_manifest
uncertainty_horizon_source,96e3bc0fb3043e518e020c14d3265d4742349b0ff9d77564a414a10bdfd3d550,96e3bc0fb3043e518e020c14d3265d4742349b0ff9d77564a414a10bdfd3d550,exact,current_lineage_aggregate_safe_addition
uncertainty_reliability_source,3a6248d1b172f51fe76a9d6f2fec38bfe8a475509c8e8d1a20c6cabf49f5ca49,3a6248d1b172f51fe76a9d6f2fec38bfe8a475509c8e8d1a20c6cabf49f5ca49,exact,current_lineage_aggregate_safe_addition
uncertainty_figure_pdf,9e08cbf2dff7249bd7a310853ebf91599e9a5b49d4882593e677f9a7cdf83261,9e08cbf2dff7249bd7a310853ebf91599e9a5b49d4882593e677f9a7cdf83261,exact,current_lineage_aggregate_safe_addition
uncertainty_figure_png,c7cf2392eef873f93d95aec6bdceeeeae4a6d9a80d85645e634f652020924ace,c7cf2392eef873f93d95aec6bdceeeeae4a6d9a80d85645e634f652020924ace,exact,current_lineage_aggregate_safe_addition
paired_inference_figure_pdf,20be022c9e3c271954623d9131ebf321874b549bd181c482f98001e668b46d2f,20be022c9e3c271954623d9131ebf321874b549bd181c482f98001e668b46d2f,exact,exact_kdd211_source_manifest
paired_inference_figure_png,45c440d9258885add33ac38d7592fe4dfaf4b10d0a1142516389fc179b2fef9d,45c440d9258885add33ac38d7592fe4dfaf4b10d0a1142516389fc179b2fef9d,exact,current_lineage_aggregate_safe_addition
