category,field,source_sha256,public_implementation,equivalence,smoke_substitution,public_sha256
public_base,KDD214,52127b903550012b281cc4a1dd4f8666e9552e41,fresh_isolated_worktree_parent_commit,complete_schema_and_cross_python_exact_serialization,False,
authoritative_source,configs/kdd198_pomdp_specification_audit_v1.json,8b072d3001728a2a246b459d6182bcb720b1ee1308662d4041f9d700b3454aa4,hash_gated_import,exact_bytes_verified,False,
authoritative_source,configs/kdd199_direct_return_precision_refresh_v1.json,6fffd82596958b4c13c951256e60caa01fb3588b67a867e3870b862acb83e99a,hash_gated_import,exact_bytes_verified,False,
authoritative_source,configs/kdd202b_policy_by_estimator_accuracy_v1.json,d0ae420384358604ae336fdfbcc25f56fb5d2e96132e349ce66571727fddf14d,hash_gated_import,exact_bytes_verified,False,
authoritative_source,kdd_benchmark_discovery/kdd198_pomdp_v2.py,257b540db70e83bd521ad3111ce0f9ba992228672be267e7456b22063f6814bf,hash_gated_import,exact_bytes_verified,False,
authoritative_source,kdd_benchmark_discovery/kdd199_repaired_direct_evaluator.py,6132f697c8ea784b92728d2b53a3392ea4839da16b866a68587874b2dfb9b0fc,hash_gated_import,exact_bytes_verified,False,
authoritative_source,kdd_benchmark_discovery/run_kdd199_direct_return_precision_refresh.py,caf4ef21948cda7733d1d1d5715eb3390780f267becd80df89ff6e98bc21284e,hash_gated_import,exact_bytes_verified,False,
authoritative_source,kdd_benchmark_discovery/run_kdd202b_policy_by_estimator_accuracy.py,c2c982bf6d251fde0c5307cf20aadaebe04d36b11ace8bf40d778d81eb38c700,hash_gated_import,exact_bytes_verified,False,
ported_dependency_source,kdd_benchmark_discovery/kdd165r2_pomdp.py,25492325298cded1ab9cd5f197cf6c5156c0d9bbc74ba80011442d5e0be1af05,hash_gated_import,exact_source_bytes_verified_before_transformation,False,
ported_dependency_source,kdd_benchmark_discovery/kdd165r_pomdp.py,f655e7b86b9cade99f42c0d35b0c1a9e618c7bdbc35d9b2d90b2f08d2e851d1c,hash_gated_import,exact_source_bytes_verified_before_transformation,False,
ported_dependency_source,kdd_benchmark_discovery/kdd202b_policy_ope.py,cc36a1013237cdc9973d096605d6b67cb62ca1a11587d35c7ab2e052f1802d0c,hash_gated_import,exact_source_bytes_verified_before_transformation,False,
public_port_artifact,src/kdd2027_benchmark/full_pomdp_types.py,derived_from_hash_gated_source,src/kdd2027_benchmark/full_pomdp_types.py,generated_by_reviewable_hash_gated_import,False,780248608566ce7106f086249d932e29a2c7889d07515ae9b2d927891dbc8f4e
public_port_artifact,src/kdd2027_benchmark/full_pomdp_core.py,derived_from_hash_gated_source,src/kdd2027_benchmark/full_pomdp_core.py,generated_by_reviewable_hash_gated_import,False,623e9d9c2e247ea2d2f6f6b272cb12ccf21ac74cf00cb28d0dac8f4b234ab636
public_port_artifact,src/kdd2027_benchmark/full_pomdp_v2.py,derived_from_hash_gated_source,src/kdd2027_benchmark/full_pomdp_v2.py,generated_by_reviewable_hash_gated_import,False,d33ded90f76051265005c67e6eeaa526299a29594b3e4d05440546129fa8429a
public_port_artifact,src/kdd2027_benchmark/full_direct_evaluator.py,derived_from_hash_gated_source,src/kdd2027_benchmark/full_direct_evaluator.py,generated_by_reviewable_hash_gated_import,False,fd5f1c8f82c662d09f38c4de724263c11064e400c01ed2334d9f569986cf12b4
public_port_artifact,src/kdd2027_benchmark/full_ope.py,derived_from_hash_gated_source,src/kdd2027_benchmark/full_ope.py,generated_by_reviewable_hash_gated_import,False,bf161ef7487056fedd79b45ffb1d4cb119b32a5b36a5aa64beb7e04e22f3740c
public_port_artifact,configs/full_benchmark/kdd198_v2_generator_contract.json,c69d9dbb3730d86614bbf142757daff1284f87b853b2143d26193e4f4ec76f17,configs/full_benchmark/kdd198_v2_generator_contract.json,generated_by_reviewable_hash_gated_import,False,0b452d491f2124b6c95853f03c83fbff5114416a0e7c70be9b8923f651d92f10
scientific_contract,latent transition,covered_by_authoritative_hashes,full_pomdp_core.R2Environment._precompute,ported_exact_contract,False,
scientific_contract,dense reward sign,covered_by_authoritative_hashes,full_pomdp_v2.independent_dense_values,ported_exact_contract,False,
scientific_contract,observation emission,covered_by_authoritative_hashes,full_pomdp_core.R2Environment._emit,ported_exact_contract,False,
scientific_contract,mask and recency,covered_by_authoritative_hashes,full_pomdp_core.R2Environment._emit,ported_exact_contract,False,
scientific_contract,history fields,covered_by_authoritative_hashes,values;masks;recency;previous_actions;step,ported_exact_contract,False,
scientific_contract,behavior policy,covered_by_authoritative_hashes,serialized BehaviorCalibration plus exact context_bin,ported_exact_contract,False,
scientific_contract,environment profiles,covered_by_authoritative_hashes,five profiles x eight seeds,ported_exact_contract,False,
scientific_contract,split roles,covered_by_authoritative_hashes,train;validation;final_exogenous;logged_dataset;bootstrap,ported_exact_contract,False,
scientific_contract,direct evaluator,covered_by_authoritative_hashes,full_direct_evaluator.evaluate_repaired_policy_batch,ported_exact_contract,False,
scientific_contract,estimators,covered_by_authoritative_hashes,IS;WIS;CWPDIS;DR;WDR;FQE,ported_exact_contract,False,
scientific_contract,nuisance refit,covered_by_authoritative_hashes,inside every episode-bootstrap replicate,ported_exact_contract,False,
scientific_contract,precision gate,covered_by_authoritative_hashes,4096..65536; normalized SE <= 0.0025,ported_exact_contract,False,
