profile,environment_seed,reference_role,authoritative_method,public_method,absolute_difference,tolerance,exact_method_config_identity,status
aki,171901,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029482826528693724,True,pass
aki,171902,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029368319576375174,True,pass
aki,171903,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029445860568201775,True,pass
aki,171904,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029536620397499845,True,pass
aki,171905,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02935791058607538,True,pass
aki,171906,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029435577278336303,True,pass
aki,171907,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029493136026727516,True,pass
aki,171908,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02950388922835182,True,pass
heart_failure,171901,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02238468200051082,True,pass
heart_failure,171902,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02249686009420523,True,pass
heart_failure,171903,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02206379245284574,True,pass
heart_failure,171904,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.022610970129183325,True,pass
heart_failure,171905,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.022182738035857106,True,pass
heart_failure,171906,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.022395519739106723,True,pass
heart_failure,171907,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.022441722421940275,True,pass
heart_failure,171908,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02275408154401387,True,pass
respiratory,171901,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.162035142033074,True,pass
respiratory,171902,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.15929312686305752,True,pass
respiratory,171903,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.16019242313765963,True,pass
respiratory,171904,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.1614164725858189,True,pass
respiratory,171905,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.1641380149776676,True,pass
respiratory,171906,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.1640380387609221,True,pass
respiratory,171907,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.1610372229211522,True,pass
respiratory,171908,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.16026403139595716,True,pass
sepsis,171901,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.028913881333742147,True,pass
sepsis,171902,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.028836757179153998,True,pass
sepsis,171903,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.028996916869835833,True,pass
sepsis,171904,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029085924486153165,True,pass
sepsis,171905,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029097783776502916,True,pass
sepsis,171906,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029040464424151598,True,pass
sepsis,171907,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.02891373529242379,True,pass
sepsis,171908,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.029082713194625527,True,pass
shock,171901,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.06940077675368234,True,pass
shock,171902,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.06947685782131745,True,pass
shock,171903,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.06715612804765833,True,pass
shock,171904,official_behavior_evaluator_sanity,behavior,behavior,0.022057053777732517,0.05992418681696071,True,pass
shock,171905,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.0686906642042617,True,pass
shock,171906,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.06940968526094476,True,pass
shock,171907,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.07044527893719842,True,pass
shock,171908,official_behavior_evaluator_sanity,behavior,behavior,0.0,0.06899661448615035,True,pass
all,all,required_model_free_reference,behavior_cloning,not_reconstructed,na,prespecified_but_not_applicable,False,structural_nonavailability_no_checkpoint_or_exact_public_training_port
all,all,required_model_based_reference,persistence_locf_plus_h4_support_only,transition_only_locf_gaussian_reference,na,prespecified_but_not_applicable,False,structural_nonavailability_incomplete_prt_planner_contract
