profile,environment_seed,forecast_horizon,entrant_id,observed_target_count,rmse,mae,distribution_available,status,crps,coverage90,coverage_error90,width90,mace
sepsis,171901,1,locf_gaussian_reference,32144,1.3491373224258782,1.0770080082003717,True,numeric_one_step,0.8091503234695951,0.63809731209557,0.26190268790443005,2.467280440427209,0.26190268790443005
sepsis,171901,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171901,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,1,locf_gaussian_reference,31600,1.344092149170734,1.0707007370219708,True,numeric_one_step,0.804011904976153,0.6433227848101266,0.2566772151898734,2.4672804404272095,0.2566772151898734
sepsis,171902,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171902,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,1,locf_gaussian_reference,31193,1.3377478734645012,1.06513577711228,True,numeric_one_step,0.7989351260795098,0.6460423813034976,0.25395761869650246,2.4672804404272095,0.25395761869650246
sepsis,171903,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171903,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,1,locf_gaussian_reference,31953,1.3245347295712693,1.0543268047518206,True,numeric_one_step,0.7899541692404405,0.6506744280662222,0.2493255719337778,2.467280440427209,0.2493255719337778
sepsis,171904,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171904,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,1,locf_gaussian_reference,31606,1.3394957094892233,1.0689436001790322,True,numeric_one_step,0.8016283511385719,0.6445611592735556,0.2554388407264444,2.4672804404272095,0.2554388407264444
sepsis,171905,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171905,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,1,locf_gaussian_reference,32037,1.3225058572535908,1.0556876480298958,True,numeric_one_step,0.7902533476003271,0.6475325405000468,0.2524674594999532,2.4672804404272095,0.2524674594999532
sepsis,171906,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171906,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,1,locf_gaussian_reference,31773,1.3383331795478681,1.0680538466360947,True,numeric_one_step,0.800526830701926,0.6466181978409341,0.2533818021590659,2.467280440427209,0.2533818021590659
sepsis,171907,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171907,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,1,locf_gaussian_reference,29876,1.3349418159036985,1.0626249062173212,True,numeric_one_step,0.7973834140394461,0.6447315571026911,0.2552684428973089,2.4672804404272086,0.2552684428973089
sepsis,171908,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,8,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,9,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,10,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
sepsis,171908,11,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,1,locf_gaussian_reference,29116,1.2853691459654952,1.0274347138626176,True,numeric_one_step,0.7653317931434103,0.6621788707240005,0.23782112927599952,2.467280440427209,0.23782112927599952
respiratory,171901,2,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,3,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,4,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,5,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,6,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
respiratory,171901,7,locf_gaussian_reference,na,,,True,structural_na_transition_only_no_observation_process_rollout,,,,,
