policy,contract,estimator,dataset_cell_count,environment_count,mean_absolute_error,normalized_mean_absolute_error,repeated_dataset_coverage90,sign_recovery,pairwise_order_recovery,false_improvement_rate,mean_ess,nonfinite_rate,mean_within_dataset_estimator_standard_deviation,counterfactual_truth
behavior,primary_crossfit_no_clip,CWPDIS,320,40,0.6565485668232048,0.16558160299556388,0.865625,1.0,0.5125,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,primary_crossfit_no_clip,DR,320,40,3275693838.9405775,565728850.8205194,0.934375,1.0,0.559375,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,primary_crossfit_no_clip,FQE,320,40,0.156671858280215,0.04791190851509591,0.3,1.0,0.60625,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,primary_crossfit_no_clip,IS,320,40,167738478261.45905,21127633661.059055,0.915625,1.0,0.55625,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,primary_crossfit_no_clip,WDR,320,40,0.29774385077850185,0.08415989009566302,0.8375,1.0,0.63125,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,primary_crossfit_no_clip,WIS,320,40,0.6216066227250517,0.10657361808695645,0.965625,1.0,0.471875,0.0,4.872462336836773,0.0,62746400170.308556,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,CWPDIS,320,40,0.5263105455080284,0.13714912063875292,0.8375,1.0,0.48125,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,DR,320,40,10567642.552511308,1430711.989865943,0.928125,1.0,0.615625,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,FQE,320,40,0.156671858280215,0.04791190851509591,0.296875,1.0,0.60625,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,IS,320,40,356881395.3218691,24467312.96358166,0.903125,1.0,0.53125,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,WDR,320,40,0.26670270528623713,0.07478182134844966,0.796875,1.0,0.65,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_crossfit_clip10,WIS,320,40,0.4898524808354267,0.0843342083514976,0.96875,1.0,0.425,0.0,7.034912258136859,0.0,133393679.23958477,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,CWPDIS,320,40,0.3598364851132506,0.101008721238217,0.440625,1.0,0.453125,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,DR,320,40,0.12166603360066482,0.031978302532689205,0.515625,1.0,0.721875,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,FQE,320,40,0.156671858280215,0.04791190851509591,0.303125,1.0,0.60625,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,IS,320,40,0.05944948145231186,0.010368674954587553,0.8875,1.0,0.703125,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,WDR,320,40,0.17454984596871675,0.04683490942738017,0.46875,1.0,0.58125,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_exact_behavior_no_clip,WIS,320,40,0.059449480802226715,0.010368674634168452,0.8875,1.0,0.390625,0.0,255.9999999999988,0.0,0.1609524936585991,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,CWPDIS,320,40,0.36619982521543204,0.10163741009481977,0.575,1.0,0.384375,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,DR,320,40,1.5296056247934264,0.4040899740567771,0.63125,1.0,0.671875,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,FQE,320,40,0.156671858280215,0.04791190851509591,0.296875,1.0,0.60625,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,IS,320,40,6.121231934524422,1.3175030881811671,0.575,1.0,0.69375,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,WDR,320,40,0.1948257496632877,0.052132705509085296,0.603125,1.0,0.53125,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
behavior,sensitivity_misspecified_power055_no_clip,WIS,320,40,0.10850097092684759,0.018428195795921674,0.878125,1.0,0.35625,0.0,135.262152648264,0.0,2.378075368637628,known_constructed_simulator_direct_return
history_softmax_reference,primary_crossfit_no_clip,CWPDIS,320,40,0.7375311863129015,0.17881768040670912,0.76875,0.5125,0.5125,0.396875,13.181694721959119,0.0,15.652536611628651,known_constructed_simulator_direct_return
