profile,entrant_id,planner_horizon,complete_prt_capability,status,arbitrary_reward_or_termination_imputation
sepsis,locf_gaussian_reference,H1,False,structural_na_transition_only_entrant,False
sepsis,locf_gaussian_reference,H4,False,structural_na_transition_only_entrant,False
sepsis,locf_gaussian_reference,H8,False,structural_na_transition_only_entrant,False
respiratory,locf_gaussian_reference,H1,False,structural_na_transition_only_entrant,False
respiratory,locf_gaussian_reference,H4,False,structural_na_transition_only_entrant,False
respiratory,locf_gaussian_reference,H8,False,structural_na_transition_only_entrant,False
shock,locf_gaussian_reference,H1,False,structural_na_transition_only_entrant,False
shock,locf_gaussian_reference,H4,False,structural_na_transition_only_entrant,False
shock,locf_gaussian_reference,H8,False,structural_na_transition_only_entrant,False
aki,locf_gaussian_reference,H1,False,structural_na_transition_only_entrant,False
aki,locf_gaussian_reference,H4,False,structural_na_transition_only_entrant,False
aki,locf_gaussian_reference,H8,False,structural_na_transition_only_entrant,False
heart_failure,locf_gaussian_reference,H1,False,structural_na_transition_only_entrant,False
heart_failure,locf_gaussian_reference,H4,False,structural_na_transition_only_entrant,False
heart_failure,locf_gaussian_reference,H8,False,structural_na_transition_only_entrant,False
