artifact,forbidden_hits,row_level_ehr,latent_trajectory_export,status
authoritative_source_to_public_port_matrix.csv,,False,False,pass
built_in_reference_parity.csv,,False,False,pass
clean_install_full_example_receipt.csv,,False,False,pass
component_forecasting_results.csv,,False,False,pass
decision.md,,False,False,pass
entrant_estimator_accuracy_summary.csv,,False,False,pass
environment_paired_return_contrasts.csv,,False,False,pass
environment_profile_seed_and_role_manifest.csv,,False,False,pass
failure_ledger.csv,,False,False,pass
frozen_kdd215_full_entrant_contract.md,,False,False,pass
full_320_dataset_ope_results.csv,,False,False,pass
full_40_environment_direct_returns.csv,,False,False,pass
full_suite_generation_receipt.csv,,False,False,pass
historical_kdd212_smoke_nonpooling.md,,False,False,pass
optional_prt_planner_results_or_nonavailability.csv,,False,False,pass
privacy_scan.csv,,False,False,pass
public_vs_protected_evaluation_boundary.md,,False,False,pass
resource_runtime_and_failure_summary.csv,,False,False,pass
result_audit.md,,False,False,pass
supported_runtime_hash_parity.csv,,False,False,pass
