profile,environment_seed,mechanism_sha256,authoritative_method,public_method,absolute_difference,tolerance,exact_method_config_identity,status,learned_policy_parity_claim
aki,171901,7aa2573ec71fe954bd90e62a7a8952e2571069f5465e0e13f15bcd5ed5eeec6b,behavior,behavior,0.0,0.029482826528693724,True,pass,denied
aki,171902,05630ec275724092f855cd3978edfd586f0e6f24dbaff5620b75f3905f7e4ecc,behavior,behavior,0.0,0.029368319576375174,True,pass,denied
aki,171903,a18d183caf570d7f3e692179b7e1ef3576da1480d28b00e376161d51f63f6027,behavior,behavior,0.0,0.029445860568201775,True,pass,denied
aki,171904,ccf0f4c0f8a3c8e0d2d8de71f3a59474c2e3e78e034c805a5337ba5610929e09,behavior,behavior,0.0,0.029536620397499845,True,pass,denied
aki,171905,1edd07c2da4ce53f3c8dea3cd6a5d062129897145994fe6e7a908bf06f3c7107,behavior,behavior,0.0,0.02935791058607538,True,pass,denied
aki,171906,0b588c11260f8c01a14326f23ac9b5b7e1507f291025d2a1132b685794437552,behavior,behavior,0.0,0.029435577278336303,True,pass,denied
aki,171907,ee53f2044305e7871e18aba516f643ea822b3bf12a7fd7979235a0b5d48bf13e,behavior,behavior,0.0,0.029493136026727516,True,pass,denied
aki,171908,5d9cb7155e16fd180007c64d94cd9159bd0abc081264f2c62f575e0278855dd0,behavior,behavior,0.0,0.02950388922835182,True,pass,denied
heart_failure,171901,06cc0cb7e3ed00ba351d97026f6916ce2882e6b979995bce8d1f89fc27486e9c,behavior,behavior,0.0,0.02238468200051082,True,pass,denied
heart_failure,171902,99bf6fa9d22ac856ae0db0e14ba821e0f31222b8cdacb2ee3fc0c36aa6e06bbe,behavior,behavior,0.0,0.02249686009420523,True,pass,denied
heart_failure,171903,ac8008d8bb4b2aabe52b7edbdaf88ae09aee997c85d7d95d7f432b74d9fe575a,behavior,behavior,0.0,0.02206379245284574,True,pass,denied
heart_failure,171904,509ebd2ca915454d64189592c82ce92835f71a7ffed326714c4f80f11342d221,behavior,behavior,0.0,0.022610970129183325,True,pass,denied
heart_failure,171905,12e46e4c4b1895054aa418ae5c5729df8d714efb985490fb23255178ebc0a754,behavior,behavior,0.0,0.022182738035857106,True,pass,denied
heart_failure,171906,a8ac7fc037f0f5913c92b50f34f8b7d858c0508e9abd055b01bcb98c9e6fad48,behavior,behavior,0.0,0.022395519739106723,True,pass,denied
heart_failure,171907,b0665f8e22bee87021d0ebb7ee83e2c38357eae495f02e63ec8105e5e5645cac,behavior,behavior,0.0,0.022441722421940275,True,pass,denied
heart_failure,171908,264f708b7b89fc3655d1689d96387e05e297d708f357b9f7dc913c67189e7b7a,behavior,behavior,0.0,0.02275408154401387,True,pass,denied
respiratory,171901,b0541512a215a96eae887c83c42a101d53468c1251d6076871f7cecb5e029e8c,behavior,behavior,0.0,0.162035142033074,True,pass,denied
respiratory,171902,6071aa0c82f2b94534e016240ef97f42fdccf80f5a271116da46f427fff8416b,behavior,behavior,0.0,0.15929312686305752,True,pass,denied
respiratory,171903,839ec597acb96fe13069a97da10e86c5b98a8ce3af69adb2bd0b3b747b09a9dc,behavior,behavior,0.0,0.16019242313765963,True,pass,denied
respiratory,171904,39e22c4e6fcc5d3b20dd04be70ad9d6f5ff313fc54e1ee94fc3fdd9a39c4f6a6,behavior,behavior,0.0,0.1614164725858189,True,pass,denied
respiratory,171905,4bc68470cba512c494d8698af14007eda2128701d5b032d5324745de8172b98b,behavior,behavior,0.0,0.1641380149776676,True,pass,denied
respiratory,171906,cb3abd342979bb9811f6be4389b490110a35fe18658f96117113a8a71f9e116d,behavior,behavior,0.0,0.1640380387609221,True,pass,denied
respiratory,171907,98f53a6b6890e7e0c390706b2f0a0753eb10b0f77afaf8524b30ef9adeb166ee,behavior,behavior,0.0,0.1610372229211522,True,pass,denied
respiratory,171908,0576c27529ab43250b4055be5884783830a45c0a0f323baf3c8d3b95f86ce06b,behavior,behavior,0.0,0.16026403139595716,True,pass,denied
sepsis,171901,1ce8824ea1b2e9efb5789f12b88e7b20f0cf813cae9228b3ef89ff9070db3f89,behavior,behavior,0.0,0.028913881333742147,True,pass,denied
sepsis,171902,ed78d345256389919b890fb4641081e6290b66e2d9977b4b3535c5a026caaf79,behavior,behavior,0.0,0.028836757179153998,True,pass,denied
sepsis,171903,e524aaa5d311aaefabeb415b25575fc0db9b288107eea8358d9ae001609670bb,behavior,behavior,0.0,0.028996916869835833,True,pass,denied
sepsis,171904,d65451f5569d86d544edf35b4df28394962ecc38fb7b2c2f84329c53016b4bda,behavior,behavior,0.0,0.029085924486153165,True,pass,denied
sepsis,171905,207f3ff88d87d6664dab218802de212bf12af979f05e560a72cc8282ab7ef325,behavior,behavior,0.0,0.029097783776502916,True,pass,denied
sepsis,171906,3b1ceba61b891db37f1a5a1e50a77084520c2fc58f5b4ae03420afcdae9afdbd,behavior,behavior,0.0,0.029040464424151598,True,pass,denied
sepsis,171907,a610c798e1d131ff4fa1401ec3229e31ab11bd6ebd24077c64873774c282e4dc,behavior,behavior,0.0,0.02891373529242379,True,pass,denied
sepsis,171908,3d64e456c0685dcf977d6d64f2d5c12457e3e4766a4a36c5ec3ebbe5f56649b7,behavior,behavior,0.0,0.029082713194625527,True,pass,denied
shock,171901,35a252273db2671d5c1a15c6ede69dc965606dd6552695b97c6cb56b37a68325,behavior,behavior,0.0,0.06940077675368234,True,pass,denied
shock,171902,2e9309f0511cdfbda4be1eea613f87ad126ca944d44f4b0ace35a4656ad45844,behavior,behavior,0.0,0.06947685782131745,True,pass,denied
shock,171903,d1cfed1efd7bf3e5cf0f8711097b111c24c3c5eddd9c747fb9fb3877778ed2da,behavior,behavior,0.0,0.06715612804765833,True,pass,denied
shock,171904,304e95966ef077846844f78f675df2fa69aeb20d6c5e5c2016a147c000faf4ca,behavior,behavior,0.022057053777732517,0.05992418681696071,True,pass,denied
shock,171905,ce0328a8937e01b4b8de00b85c736afe9e680250e5377394969ccc507715f776,behavior,behavior,0.0,0.0686906642042617,True,pass,denied
shock,171906,03f308453c99aeea2585ed408b9ab100cf20e5cc1c1f5be0b3c7cc4da9d427cd,behavior,behavior,0.0,0.06940968526094476,True,pass,denied
shock,171907,8fa1922f197fb9f1c6b721249f74f1d3973fdd65c9ea9b87c7cdf37a504fcbd2,behavior,behavior,0.0,0.07044527893719842,True,pass,denied
shock,171908,8d34bfae3ca53c94702545b454d3c0ff754e415f6aaf1653b0e23417075c19b7,behavior,behavior,0.0,0.06899661448615035,True,pass,denied
