identity,expected,observed,status,evidence
remote_branch_commit,034322748aa31ea507b8651189200f366974cb64,034322748aa31ea507b8651189200f366974cb64,pass,refs/heads/kdd215-full-entrant-workflow
checked_out_commit,034322748aa31ea507b8651189200f366974cb64,034322748aa31ea507b8651189200f366974cb64,pass,fresh_worktree_HEAD
checked_out_tree,71bf667b2c705c6839ea14f5aa59025111f74c53,71bf667b2c705c6839ea14f5aa59025111f74c53,pass,git_tree
immutable_manifest,825d9a96c5d40aea5b622b9b80fb6cbe8252d256ea34d62deac8406ecc6f39bf,825d9a96c5d40aea5b622b9b80fb6cbe8252d256ea34d62deac8406ecc6f39bf,pass,288_listed_files_verified_before_aggregate_read
original_kdd215_decision,stop_generator_parity_role_isolation_or_reference_parity_failure,stop_generator_parity_role_isolation_or_reference_parity_failure,preserved,sha256:425bd19310da891467dbb247b8ea3402b4dd97a7ae2639df26f779cb619e7f57
authoritative_source_hash,8b072d3001728a2a246b459d6182bcb720b1ee1308662d4041f9d700b3454aa4,8b072d3001728a2a246b459d6182bcb720b1ee1308662d4041f9d700b3454aa4,pass,configs/kdd198_pomdp_specification_audit_v1.json
authoritative_source_hash,6fffd82596958b4c13c951256e60caa01fb3588b67a867e3870b862acb83e99a,6fffd82596958b4c13c951256e60caa01fb3588b67a867e3870b862acb83e99a,pass,configs/kdd199_direct_return_precision_refresh_v1.json
authoritative_source_hash,d0ae420384358604ae336fdfbcc25f56fb5d2e96132e349ce66571727fddf14d,d0ae420384358604ae336fdfbcc25f56fb5d2e96132e349ce66571727fddf14d,pass,configs/kdd202b_policy_by_estimator_accuracy_v1.json
authoritative_source_hash,257b540db70e83bd521ad3111ce0f9ba992228672be267e7456b22063f6814bf,257b540db70e83bd521ad3111ce0f9ba992228672be267e7456b22063f6814bf,pass,kdd_benchmark_discovery/kdd198_pomdp_v2.py
authoritative_source_hash,6132f697c8ea784b92728d2b53a3392ea4839da16b866a68587874b2dfb9b0fc,6132f697c8ea784b92728d2b53a3392ea4839da16b866a68587874b2dfb9b0fc,pass,kdd_benchmark_discovery/kdd199_repaired_direct_evaluator.py
authoritative_source_hash,caf4ef21948cda7733d1d1d5715eb3390780f267becd80df89ff6e98bc21284e,caf4ef21948cda7733d1d1d5715eb3390780f267becd80df89ff6e98bc21284e,pass,kdd_benchmark_discovery/run_kdd199_direct_return_precision_refresh.py
authoritative_source_hash,c2c982bf6d251fde0c5307cf20aadaebe04d36b11ace8bf40d778d81eb38c700,c2c982bf6d251fde0c5307cf20aadaebe04d36b11ace8bf40d778d81eb38c700,pass,kdd_benchmark_discovery/run_kdd202b_policy_by_estimator_accuracy.py
