claim,disposition,evidence_axis,original_kdd215_decision_replaced
40_environment_public_constructed_generator_and_evaluator,allow,A,False
320_dataset_repeated_ope_operational_surface,allow,A;C,False
observable_history_external_policy_entrant_execution,allow,B;C,False
official_behavior_evaluator_parity_40_of_40,allow,A,False
component_one_step_transition_scoring_40_rows,allow,C,False
bundled_conformance_entrant_is_historical_model_free_baseline,deny,D,False
transition_only_component_is_complete_prt_or_h4_planner,deny,D,False
official_behavior_parity_is_learned_policy_parity,deny,D,False
historical_behavior_cloning_reproduced,deny,D,False
history_only_true_model_reference_reproduced,deny,D,False
protected_or_hidden_test_service,deny,public_development_seeds,False
independent_credentialed_ehr_reconstruction,deny,outside_KDD215R,False
