profile,environment_seed,authoritative_method,clean_clone_method,absolute_difference,tolerance,status,learned_policy_parity_claim
aki,171901,behavior,behavior,0.0,0.029482826528693724,pass,not_applicable
aki,171902,behavior,behavior,0.0,0.029368319576375174,pass,not_applicable
aki,171903,behavior,behavior,0.0,0.029445860568201775,pass,not_applicable
aki,171904,behavior,behavior,0.0,0.029536620397499845,pass,not_applicable
aki,171905,behavior,behavior,0.0,0.02935791058607538,pass,not_applicable
aki,171906,behavior,behavior,0.0,0.029435577278336303,pass,not_applicable
aki,171907,behavior,behavior,0.0,0.029493136026727516,pass,not_applicable
aki,171908,behavior,behavior,0.0,0.02950388922835182,pass,not_applicable
heart_failure,171901,behavior,behavior,0.0,0.02238468200051082,pass,not_applicable
heart_failure,171902,behavior,behavior,0.0,0.02249686009420523,pass,not_applicable
heart_failure,171903,behavior,behavior,0.0,0.02206379245284574,pass,not_applicable
heart_failure,171904,behavior,behavior,0.0,0.022610970129183325,pass,not_applicable
heart_failure,171905,behavior,behavior,0.0,0.022182738035857106,pass,not_applicable
heart_failure,171906,behavior,behavior,0.0,0.022395519739106723,pass,not_applicable
heart_failure,171907,behavior,behavior,0.0,0.022441722421940275,pass,not_applicable
heart_failure,171908,behavior,behavior,0.0,0.02275408154401387,pass,not_applicable
respiratory,171901,behavior,behavior,0.0,0.162035142033074,pass,not_applicable
respiratory,171902,behavior,behavior,0.0,0.15929312686305752,pass,not_applicable
respiratory,171903,behavior,behavior,0.0,0.16019242313765963,pass,not_applicable
respiratory,171904,behavior,behavior,0.0,0.1614164725858189,pass,not_applicable
respiratory,171905,behavior,behavior,0.0,0.1641380149776676,pass,not_applicable
respiratory,171906,behavior,behavior,0.0,0.1640380387609221,pass,not_applicable
respiratory,171907,behavior,behavior,0.0,0.1610372229211522,pass,not_applicable
respiratory,171908,behavior,behavior,0.0,0.16026403139595716,pass,not_applicable
sepsis,171901,behavior,behavior,0.0,0.028913881333742147,pass,not_applicable
sepsis,171902,behavior,behavior,0.0,0.028836757179153998,pass,not_applicable
sepsis,171903,behavior,behavior,0.0,0.028996916869835833,pass,not_applicable
sepsis,171904,behavior,behavior,0.0,0.029085924486153165,pass,not_applicable
sepsis,171905,behavior,behavior,0.0,0.029097783776502916,pass,not_applicable
sepsis,171906,behavior,behavior,0.0,0.029040464424151598,pass,not_applicable
sepsis,171907,behavior,behavior,0.0,0.02891373529242379,pass,not_applicable
sepsis,171908,behavior,behavior,0.0,0.029082713194625527,pass,not_applicable
shock,171901,behavior,behavior,0.0,0.06940077675368234,pass,not_applicable
shock,171902,behavior,behavior,0.0,0.06947685782131745,pass,not_applicable
shock,171903,behavior,behavior,0.0,0.06715612804765833,pass,not_applicable
shock,171904,behavior,behavior,0.022057053777732517,0.05992418681696071,pass,not_applicable
shock,171905,behavior,behavior,0.0,0.0686906642042617,pass,not_applicable
shock,171906,behavior,behavior,0.0,0.06940968526094476,pass,not_applicable
shock,171907,behavior,behavior,0.0,0.07044527893719842,pass,not_applicable
shock,171908,behavior,behavior,0.0,0.06899661448615035,pass,not_applicable
