stage,wall_time,peak_rss_bytes,worker_count,exit_status,cacheability,measured_not_inferred,test_count,disk_bytes
locked_install,0:00.48,615817216,1,0,dependency_download_cacheable,True,,
schema_and_invalid_fixtures,0:06.83,68157440,1,0,test_result_cacheable_by_commit,True,,
full_suite_generation,0:09.37,67108864,1,0,deterministic_cache_reusable,True,,
fresh_entrant_validation,0:06.81,66060288,1,0,entrant_hash_keyed,True,,
train_boundary_check,0:06.67,62914560,1,0,entrant_hash_keyed,True,,
full_direct_return,5:20.06,182972416,1,0,deterministic_output_hash_keyed,True,,
component_scoring,0:13.25,80773120,1,0,deterministic_output_hash_keyed,True,,
full_repeated_ope,21:49.50,73748480,8,0,deterministic_output_hash_keyed,True,,
ope_summary,0:00.36,80740352,1,0,input_hash_keyed,True,,
complete_public_tests,0:48.16,134324224,1,0,test_result_cacheable_by_commit,True,61,
temporary_run_directory,not_applicable,not_applicable,not_applicable,0,not_committed,True,,569123502
