fixture_type,fixture,expected,observed,status
schema,aggregate_metrics,valid_draft_2020_12,valid,pass
schema,entrant_protocol,valid_draft_2020_12,valid,pass
schema,leaderboard_submission,valid_draft_2020_12,valid,pass
schema,transition_submission,valid_draft_2020_12,valid,pass
invalid_entrant,malformed,rejected_for_named_class,rejected,pass
invalid_entrant,nonfinite,rejected_for_named_class,rejected,pass
invalid_entrant,unsupported,rejected_for_named_class,rejected,pass
invalid_entrant,negative,rejected_for_named_class,rejected,pass
invalid_entrant,nonnormalized,rejected_for_named_class,rejected,pass
invalid_entrant,wrong_dimension,rejected_for_named_class,rejected,pass
invalid_entrant,slow,rejected_for_named_class,rejected,pass
invalid_entrant,crash,rejected_for_named_class,rejected,pass
invalid_entrant,nondeterministic,rejected_for_named_class,rejected,pass
