authoritative_symbol,authoritative_sha256,public_symbol,public_sha256,semantic_status
kdd_rv01r.contracts.subject_role,ef88dbd98ed84c72eb7513a1acbceb50c81a01df910f605e9a303e356de8db5d,current_five_task.contracts.subject_role,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd_rv01r.contracts.eligible_transition_indices,ef88dbd98ed84c72eb7513a1acbceb50c81a01df910f605e9a303e356de8db5d,current_five_task.contracts.eligible_transition_indices,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd097_contract.train_positive_edges,324f465a15f4534de4277c1adc2fe9ad631619916bdc05d6c09b81a5374ca4f5,current_five_task.contracts.fit_train_positive_edges,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd097_contract.encode_five_levels,324f465a15f4534de4277c1adc2fe9ad631619916bdc05d6c09b81a5374ca4f5,current_five_task.contracts.encode_five_levels,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd097_contract.joint_codes,324f465a15f4534de4277c1adc2fe9ad631619916bdc05d6c09b81a5374ca4f5,current_five_task.contracts.joint_codes,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd200_temporal_audit.retained_mask,f155bc91335e912e075379909e48de9b53e60afea7c781e2faeb875f589706a1,current_five_task.contracts.apply_kdd201_temporal_repair,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,exact_differential_pass
kdd152v2a_repaired_interfaces._reward_values,6402ee9eb64526ab41f122584342011c13bf709c9846efa43e5f16eecaeb66a7,current_five_task.contracts.reward_components,279984e89c6aac5bd2e6a433464fb5a84fc4c41ae0b201f3eb217280efeb20ce,primary_terminal_and_shock_channels_pass
kdd_rv01r.sources.build_dense_construction,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,current_five_task.reconstruct.build_arrays,32834a59a1eb6d6c5f5650b256c758f63ac7c94ff06c141c9c40332ee000229f,differential_fail_masks_and_features
kdd_rv01r.construction._finalize_anchors,f0c586f60102b0048d5c682a6bc86757bc71e090941e1d9d608c5f1224b8e39c,current_five_task.reconstruct.finalize_sepsis_anchors,32834a59a1eb6d6c5f5650b256c758f63ac7c94ff06c141c9c40332ee000229f,not_fully_accepted_due_upstream_feature_failure
run_kdd097_materialization._development_candidates,03beaf158634c831e2b81f8f4bb27ea4aab7cd9e72b756d4d1bcda21593b463a,current_five_task.reconstruct.build_anchors,32834a59a1eb6d6c5f5650b256c758f63ac7c94ff06c141c9c40332ee000229f,partial_four_task_fixture_inclusion_pass

