contract,canonical_sha256,authoritative_source,status
feature_order,5b9b0681ee2f129395270253fcbf11759a16d2545b685c34d42ca53924d6991e,export_mimiciv_meddreamer_sepsis_official_like.py,ported
chart_item_map,d1c28c0bbc9fe95bc1926617632ef2ddde4a59de46595dc353c717684177823b,export_mimiciv_meddreamer_sepsis_official_like.py,ported_partial_diff_failed
lab_item_map,1a1a490081d8dd47910f8190224c2bf38af5ed9bdef5d2ea7eb9154ae91c5613,export_mimiciv_meddreamer_sepsis_official_like.py,ported
fluid_itemids,8677e7ced76d3cf31ba87c3a79889db27eec0b366f42f117564750dc12fc7fbf,export_mimiciv_meddreamer_sepsis_official_like.py,ported
vasopressor_itemids,8237ce96ca2f17bf6d934001242ba8bef1e93340f61a2ff96894a7d6ede82f48,export_mimiciv_meddreamer_sepsis_official_like.py,ported
peep_itemids,73bad8ec2b1cbd157dc679369b9b5880f110bb74ad4a4def9ffc03e15a042f6c,kdd_rv01r_sources.py,ported
fio2_itemids,24c21d97be07cec315cf49e05233ef9395ce40db91c4893b7797ec1000a79093,kdd151_source_unit_contract_v2.py,ported
dbp_itemids,22d79062437d14e1729e68ac8cfde66da2a45f9b39ae39bcf29a5424909685d7,KDD184_corrected_lineage,ported_unit_and_range_rule
urine_itemids,1958f78b74b11d1b3e7e8d601a0b07b5d8f94a75682f5c1848ed121db88bebfa,export_mimiciv_meddreamer_sepsis_official_like.py,ported
action_and_anchor_regexes,c4d4773d45462be08103e84e3b3b3a77c0e390b0653138aa8482687352b303c9,exposures.py_and_sepsis_builder,ported_candidate

