relative_table,accepted_files,required_columns,primary_identifier,date_columns,NA_rule
hosp/patients,csv_or_csv.gz,subject_id;gender;anchor_age;dod,subject_id,dod,empty_or_standard_CSV_NA
hosp/admissions,csv_or_csv.gz,subject_id;hadm_id;admittime;dischtime;deathtime;hospital_expire_flag;discharge_location,hadm_id,admittime;dischtime;deathtime,empty_or_standard_CSV_NA
hosp/diagnoses_icd,csv_or_csv.gz,subject_id;hadm_id;icd_code;icd_version,none,none,ICD_string_preserved
hosp/procedures_icd,csv_or_csv.gz,subject_id;hadm_id;seq_num;chartdate;icd_code;icd_version,none,chartdate,empty_or_standard_CSV_NA
hosp/prescriptions,csv_or_csv.gz,subject_id;hadm_id;starttime;stoptime;drug;route,none,starttime;stoptime,empty_stop_allowed
hosp/microbiologyevents,csv_or_csv.gz,microevent_id;subject_id;hadm_id;micro_specimen_id;chartdate;charttime;spec_type_desc;org_itemid;org_name,microevent_id,chartdate;charttime,charttime_falls_back_to_chartdate
hosp/labevents,csv_or_csv.gz,labevent_id;subject_id;hadm_id;itemid;charttime;valuenum;valueuom,labevent_id,charttime,nonfinite_or_malformed_numeric_unobserved
hosp/d_labitems,csv_or_csv.gz,itemid;label;fluid;category,itemid,none,metadata_strings
icu/icustays,csv_or_csv.gz,subject_id;hadm_id;stay_id;first_careunit;last_careunit;intime;outtime,stay_id,intime;outtime,invalid_interval_fails
icu/d_items,csv_or_csv.gz,itemid;label;abbreviation;linksto;category;unitname,itemid,none,metadata_strings
icu/chartevents,csv_or_csv.gz,subject_id;hadm_id;stay_id;charttime;itemid;valuenum;valueuom,none,charttime,nonfinite_or_malformed_numeric_unobserved
icu/inputevents,csv_or_csv.gz,subject_id;hadm_id;stay_id;starttime;endtime;itemid;amount;amountuom;rate;rateuom;ordercategoryname;ordercategorydescription,none,starttime;endtime,empty_amount_or_rate_zero
icu/procedureevents,csv_or_csv.gz,subject_id;hadm_id;stay_id;starttime;endtime;itemid,none,starttime;endtime,empty_end_allowed
icu/outputevents,csv_or_csv.gz,subject_id;hadm_id;stay_id;charttime;itemid;value,none,charttime,nonpositive_unobserved

