surface,allowed,status
release_and_schema_identity,True,pass
source_and_code_hashes,True,pass
task_subject_episode_decision_counts,True,pass
action_class_aggregate_counts,True,pass
horizon_minimum_maximum,True,pass
runtime_versions,True,pass
patient_or_stay_identifiers,False,rejected_by_schema
admission_or_episode_identifiers,False,rejected_by_schema
timestamps_or_trajectories,False,rejected_by_schema
split_membership_or_raw_arrays,False,rejected_by_schema
free_text_tensors_checkpoints_raw_paths,False,rejected_by_schema
subgroup_cells,False,not_exported_no_KDD209B_generalization

