fixture_surface,coverage,status
flat_file_tables,14_required_tables_with_CSV_GZ,pass
task_anchors,sepsis_respiratory_shock_AKI_HF,pass_candidate
variable_horizons,source_bounded_transition_generation,pass
corrected_DBP,unit_and_range_accept_reject,pass
joint_actions,PEEP_FiO2_and_fluid_vasopressor,pass_candidate
compact_actions,diuretic_RRT_and_binary_diuretic,pass
train_only_cutpoints,validation_extreme_cannot_change_edges,pass
dense_reward_timing,shock_primary_channel,pass
terminal_reward_timing,sepsis_exact_once,pass
KDD201_temporal_repair,disposition_specific_anchor_bin_removal,pass
malformed_input,wrong_release_duplicates_missing_or_malformed_contracts,pass
full_observation_surface,mask_and_float_differential,fail_blocking

