public_field,historical_receipt_field,historical_receipt_sha256,public_source,status
kdd217ar3a_preserved_tree,stopped_candidate_tree,66d71190f54084e5a8f1500e8a45d0390b937bb5c9f177966747c91f90d180c9,release/kdd217ar3a,preserved_byte_for_byte
kdd217ar3ar_preserved_tree,bounded_repair_tree,03c88dfc4b42d7f1c3fd0c925085f6a505639989ca40e6e30b678c036f30a6c1,release/kdd217ar3ar,preserved_byte_for_byte
kdd217ar3ar_stop_decision,decision.md,9b5d6518bedb72955aa54db43dfc1c43bd51cbc6a9d80beafc79f1ba170b55ca,release/kdd217ar3ar/decision.md,preserved_stop_public_credentialed_reconstruction_branch_after_bounded_repair_failure
bin_hours,bin_hours,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
episode_pre_anchor_hours,pre_anchor_hours,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
episode_post_anchor_hours,post_anchor_hours,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
raw_rv01r_post_base_anchor_extraction_hours,credentialed_extraction_post_hours,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
large_lineage_role_salt,role_salt,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
large_lineage_role_ranges,role_ranges,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact_with_sealed_test_publicly_named_historical_other
sepsis_sofa_domains,sepsis.minimum_observed_sofa_domains,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
sepsis_sofa_increase,sepsis.sofa_increase_min,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
aki_creatinine_rules,aki.creatinine_absolute_delta_48h_and_creatinine_ratio_7d,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
heart_failure_icd_prefixes,heart_failure.icd9_prefix_and_icd10_prefix,663c1fb4ead074be1057eeea1a97ed65d6e056b6a27c4d7df5fd6ef2025b06e2,current_five_task/runtime_config.json,exact
