gate,baseline_or_comparator,observed,status
task_inventory,sepsis_respiratory_support_shock_aki_heart_failure,exact,pass
action_counts,K25_K25_K25_K4_K2,exact,pass
kdd220a_aggregate_receipt_sha256,94015bed358ceb836109dac31742cf75b5a5cdf2223f13dc3272d77ec0e77ae7,94015bed358ceb836109dac31742cf75b5a5cdf2223f13dc3272d77ec0e77ae7,pass
kdd220a_time_eligibility_receipt,byte_identical,byte_identical,pass
roles_and_candidates,chunk_2_vs_chunk_17,exact_frame,pass
ordered_transitions,chunk_2_vs_chunk_17,exact_frame,pass
feature_values_and_masks,chunk_2_vs_chunk_17,exact_arrays_rtol0_atol0,pass
action_exposures_and_classes,chunk_2_vs_chunk_17,exact_arrays,pass
reward_and_termination_low_level,frozen_existing_public_tests,pass,pass
episode_contract,24h_pre_48h_post_72h_18_bins_and_separate_96h_raw,unchanged,pass
aggregate_schema,frozen_schema,valid,pass
