table,call_site,field,behavior,malformed_behavior,aggregate_exclusion_recorded,status
hosp/patients,load_core_with_time_audit,subject_id,required_filter_before_merge,hard_fail_table_field_count,yes,pass
hosp/admissions,load_core_with_time_audit,subject_id_hadm_id,required_filter_before_merge,hard_fail_table_field_count,yes,pass
icu/icustays,load_core_with_time_audit,subject_id_hadm_id_stay_id,required_filter_before_merge,hard_fail_table_field_count,yes,pass
icu/icustays,classify_icu_time_eligibility,intime_outtime,missing_or_nonpositive_time_ineligible_after_parse,hard_fail_nonempty_unparsable,yes,pass
hosp/diagnoses_icd,_prior_disease_stays,subject_id_hadm_id_icd_version_icd_code,required_filter_before_conversion,hard_fail_table_field_count,yes,pass
hosp/prescriptions,suspected_infection_and_heart_failure,subject_id_hadm_id_starttime,required_task_filter,hard_fail_table_field_count,yes,pass
hosp/prescriptions,build_arrays,hadm_id_starttime_stoptime,required_hadm_and_start_optional_stop,hard_fail_nonempty_unparsable,yes,pass
hosp/microbiologyevents,suspected_infection_anchors,subject_id_and_charttime_or_chartdate,required_subject_and_coalesced_event_time,hard_fail_nonempty_unparsable,yes,pass
hosp/labevents,scan_creatinine,subject_id_hadm_id_itemid_charttime,required_after_creatinine_item_filter,hard_fail_table_field_count,yes,pass
hosp/labevents,build_arrays,hadm_id_itemid_charttime,required_after_lab_item_filter,hard_fail_table_field_count,yes,pass
icu/chartevents,build_anchors_and_build_arrays,stay_id_itemid_charttime,required_after_item_filter,hard_fail_table_field_count,yes,pass
icu/inputevents,build_anchors_and_build_arrays,stay_id_itemid_starttime_endtime,required_stay_item_start_optional_end,hard_fail_nonempty_unparsable,yes,pass
icu/procedureevents,build_anchors_and_build_arrays,stay_id_itemid_starttime_endtime,required_stay_item_start_optional_end,hard_fail_nonempty_unparsable,yes,pass
icu/outputevents,build_arrays,stay_id_itemid_charttime,required_after_urine_item_filter,hard_fail_table_field_count,yes,pass
icu/d_items,build_anchors_and_build_arrays,itemid,required_filter_before_label_map,hard_fail_table_field_count,yes,pass
