gate,baseline_or_contract,observed,status
task_inventory,sepsis_respiratory_support_shock_aki_heart_failure,exact,pass
action_counts,K25_K25_K25_K4_K2,exact,pass
sepsis_kdd220ar3_snapshot,subjects_1_episodes_1_decisions_10_cutpoint_3224ba7456ee7a4b650b0b06ba681c3861a26a530d84ad058012b74848f9ad4a,exact,pass
shock_kdd220ar3_snapshot,subjects_5_episodes_5_decisions_49_cutpoint_77b8b92ea7df8d4f9ecf8743e8cbad93b8379b13fc75fa05b8d75659a3080e3e,exact,pass
aki_kdd220ar3_snapshot,subjects_1_episodes_1_decisions_11_cutpoint_4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,exact,pass
heart_failure_kdd220ar3_snapshot,subjects_1_episodes_1_decisions_10_cutpoint_4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,exact,pass
respiratory_complete_action_fixture,unchanged_kdd220ar3_behavior,exact,pass
respiratory_partial_missing_fixture,filter_only_invalid_action_transitions,10_candidate_6_retained,pass
safe_feature_interface,33_features_values_and_masks,unchanged_existing_tests,pass
episode_contract,4h_bins_72h_episode_18_bins_separate_96h_raw_buffer,unchanged,pass
reward_and_termination,all_five_task_existing_fixtures,unchanged_existing_tests,pass
