field,expected,observed,status
source_commit,78a823fc428a0d7b241242f874e4926e3ad65417,78a823fc428a0d7b241242f874e4926e3ad65417,pass
kdd220ar3_decision,complete_authoritative_aki_and_bounded_memory_repair_ready_for_kdd220br2,complete_authoritative_aki_and_bounded_memory_repair_ready_for_kdd220br2,pass
uv_lock_sha256,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,pass
pyproject_sha256,799ce816a229fed406751f56a0b3c98a8e035e7210547ffba5bdf1ef61089ecf,799ce816a229fed406751f56a0b3c98a8e035e7210547ffba5bdf1ef61089ecf,pass
runtime_config_sha256,e43ed2182c2bfa369bda8e8099dd1cc7125520deaf12d1e0cc098e95029c5d31,e43ed2182c2bfa369bda8e8099dd1cc7125520deaf12d1e0cc098e95029c5d31,pass
credentialed_schema_sha256,f6d8646985cf2cf23859e9227b6038f0dbe453a5ebe3c4998c69702250131cd8,f6d8646985cf2cf23859e9227b6038f0dbe453a5ebe3c4998c69702250131cd8,pass
manifest_sha256,f7d0f62612f5d215d7ae5b0dbbaf1e89e0c74a8dac3985ad45358a674130debe,f7d0f62612f5d215d7ae5b0dbbaf1e89e0c74a8dac3985ad45358a674130debe,pass
manifest_files,431,431,pass
baseline_tests,90,90,pass
clean_state_before_branch,clean,clean,pass
