receipt,identity_name,expected,observed,status
kdd220br2,file_count,15,15,pass
kdd220br2,repository_standard_path_plus_raw_bytes_sha256,df594c99cd6c15a4947f78468810023381e397d162e29a3ca8d7c84c4a2bcf45,df594c99cd6c15a4947f78468810023381e397d162e29a3ca8d7c84c4a2bcf45,pass
kdd220br2,path_plus_per_file_sha256_manifest_digest,d266cb65e00d2747e8bd4418b1c72e97b1c6f3bb513b58102900552afe966ae3,d266cb65e00d2747e8bd4418b1c72e97b1c6f3bb513b58102900552afe966ae3,pass
kdd220c2,file_count,10,10,pass
kdd220c2,repository_standard_path_plus_raw_bytes_sha256,c3c8d0a4be06d2b34a59137145d6d8ddbfea7e4e2c306dc084eb9c9ca71e0cd2,c3c8d0a4be06d2b34a59137145d6d8ddbfea7e4e2c306dc084eb9c9ca71e0cd2,pass
kdd220c2,path_plus_per_file_sha256_manifest_digest,a4edc99beba183caa9c0e20d1d9160986957504195dc4988c0475476a0fbedb7,a4edc99beba183caa9c0e20d1d9160986957504195dc4988c0475476a0fbedb7,pass
both,modification,prohibited,none,pass
kdd220br2,file_inventory:action_reward_termination_interface_parity.csv,sha256:e764d0a1ce995d25409df32904fd569092f86c01c4917ba9788090235b439892,present,pass
kdd220br2,file_inventory:decision.md,sha256:fe50ed5ba7bf41bbabdd7253987c18603bb8d85e55cb2fc8b779731817d5141a,present,pass
kdd220br2,file_inventory:external_credentialed_executor_packet/README.md,sha256:5cad725d65ad5408a7be030afeb22dccb1e26e8806ead2532d97a2f1eb63467b,present,pass
kdd220br2,file_inventory:failure_ledger.csv,sha256:a1dacfd54ace28d6c1575baee638f5fbed902efdcbcb2ecc2b312662a9cdf1ed,present,pass
kdd220br2,file_inventory:five_task_cohort_role_transition_parity.csv,sha256:d0496d95bf7823ccef416e33821078b7e1c8e1f5fc4471c95f9e28e9e661ae94,present,pass
kdd220br2,file_inventory:frozen_kdd220br2_author_credentialed_parity_contract.md,sha256:b8f95cd4c8bce2e17d54f911ade16d532ad4fb05e3171ed602c7031009271e8b,present,pass
kdd220br2,file_inventory:kdd220ar3_source_config_schema_and_clean_clone_identity.csv,sha256:33d3d8fa735daea275bd4c02dc204308d2ca92d22c7bb61fb75b4d74c32c2c7e,present,pass
kdd220br2,file_inventory:kdd220c_second_reentry_authorization_or_nonexecution.md,sha256:f8e5932f3b87239e979d3cb7a6b6b5e73d80e31a6e3cd7a99caeb09cd011b48e,present,pass
kdd220br2,file_inventory:local_restricted_differential_summary.csv,sha256:6257ceaedaad7a502161d9f200f7cd7ec5608b4d14db5872d9425539636dd5e4,present,pass
kdd220br2,file_inventory:nullable_key_timestamp_and_icu_eligibility_aggregate.csv,sha256:08acac28b516cafc0a3845e38ac884e05aa440a2cae538dd38a7b068964a017b,present,pass
kdd220br2,file_inventory:result_audit.md,sha256:2beaf9bb1daee6ad644a4bde0d636069db3d463e8659ddd9fd4fb040f4b36f02,present,pass
kdd220br2,file_inventory:safe_feature_mask_value_and_preprocessing_parity.csv,sha256:b89adb059bae06efda45a38ab6b0565ae866b52f011c1a06f251068dd96b77fe,present,pass
kdd220br2,file_inventory:schema_checksum_and_privacy_scan.csv,sha256:911083ae0f5881e7a786f126281c8e7739f20b2924fc5ef96085d3c1b684a7e8,present,pass
kdd220br2,file_inventory:streamed_input_and_resource_receipt.csv,sha256:aa58346bd17edc83460b62b6f558769d429babcaef27029cd7847b01f0f38872,present,pass
kdd220br2,file_inventory:task_specific_rerun_disposition.csv,sha256:075e8513fb3bef8860ecd58a5b0cae7c47bd25e338ee0c95248732e0a2cfc678,present,pass
kdd220c2,file_inventory:decision.md,sha256:15892a066fd5b310f4437fce00a0588d737f283645243b362fbf219f4a046317,present,pass
kdd220c2,file_inventory:failure_ledger.csv,sha256:d4a229f41e580f89d65efba537f0ba6c024b236f6f7ec5e4d912c1c6d2751743,present,pass
kdd220c2,file_inventory:frozen_independent_credentialed_reconstruction_contract.md,sha256:06d539e94a58c3c3d6fb81f515e31f55977be07a898c047526a82d1b7f3ad20d,present,pass
kdd220c2,file_inventory:independent_executor_attestation.md,sha256:e564988dbf6ded364da41909628db1d860e4006a22f6d0c2aed925820a653ef8,present,pass
kdd220c2,file_inventory:independent_five_task_aggregate_parity.csv,sha256:1938aad90a5e59e59b7eb2bc058aace3b31472424f306df3fa11828514e624cc,present,pass
kdd220c2,file_inventory:independent_interface_digest_parity.csv,sha256:c9551415f68c48c376fa355f1ce30c879e167e85a086339f06870ab7d082651a,present,pass
kdd220c2,file_inventory:privacy_scan.csv,sha256:e0b98143ba0160dd1e2670b82d22289741e337cc9578962fb2e42218c4a372c1,present,pass
kdd220c2,file_inventory:public_tag_and_clean_clone_identity.csv,sha256:139f5c02799e9c0ad6167d110b75ada8d39737e5acac04c0ec9b036275499a04,present,pass
kdd220c2,file_inventory:result_audit.md,sha256:f49ed8847e153d288b722816767a3109140c9a20f29d581ca229a919ff436499,present,pass
kdd220c2,file_inventory:runtime_resource_schema_checksum_receipt.csv,sha256:f0a4a0acda555357b68f124fd5ef1990093d6487d39db6fd24a7d90c3038255f,present,pass
