test_case,expected,observed,status
both_settings_observed,retained,retained,pass
peep_missing_only,excluded_not_class_zero,excluded_not_class_zero,pass
fio2_missing_only,excluded_not_class_zero,excluded_not_class_zero,pass
both_settings_missing,excluded_not_class_zero,excluded_not_class_zero,pass
missing_first_transition,remaining_transitions_ordered,remaining_transitions_ordered,pass
missing_middle_transition,remaining_transitions_ordered,remaining_transitions_ordered,pass
missing_last_transition,remaining_transitions_ordered,remaining_transitions_ordered,pass
episode_without_valid_transition,episode_removed,episode_removed,pass
train_only_cutpoints,positive_observed_train_role_only,positive_observed_train_role_only,pass
retained_class_range,0_through_24_or_fail,0_through_24_or_fail,pass
partial_end_to_end_fixture,10_candidate_6_retained_4_excluded,10_candidate_6_retained_4_excluded,pass
focused_test_suite,7_tests_pass,7_tests_pass,pass
