gate,expected,observed,status
draft_2020_12_schema_inventory,6_released_schemas,6_valid,pass
success_receipt_positive_fixture,valid,valid,pass
success_receipt_unknown_streaming_field,rejected_additionalProperties,rejected,pass
success_receipt_wrong_streaming_table,rejected_const,rejected,pass
controlled_stop_positive_fixture,valid,valid,pass
controlled_stop_free_text_field,rejected_additionalProperties,rejected,pass
py_compile,all_source_and_tests,pass,pass
full_public_test_suite,97_tests,97_tests_pass,pass
checksum_manifest,current_public_file_inventory,all_files_match,pass
public_privacy_scan,zero_findings,zero_findings,pass
prohibited_field_scan,no_identifiers_timestamps_rows_private_paths_or_free_text,zero_findings,pass
restricted_data_access,none,none,pass
