layer,authoritative_commit,authoritative_file,authoritative_symbol,authoritative_lines,authoritative_file_sha256,authoritative_symbol_sha256,public_file,public_symbol,status
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_benchmark_discovery/run_kdd097_materialization.py,_load_development_stays,174-193,385ad6c0c4868c57face2a5d2fd313657479b9ac831074eb563fa269b6d5e34a,11c577e7cc7ad488d241c8cf5ace782747d70d80e3d99a6501420f8d979cb808,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,compact_lineage_stays,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_benchmark_discovery/run_kdd097_materialization.py,_development_candidates,222-288,385ad6c0c4868c57face2a5d2fd313657479b9ac831074eb563fa269b6d5e34a,6056fd798e73d441c4b02310b31a4fe1a96f1dcbb3ea61feb5511ff577b499a7,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_anchors,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_benchmark_discovery/run_kdd097_materialization.py,_materialize_actions,306-345,385ad6c0c4868c57face2a5d2fd313657479b9ac831074eb563fa269b6d5e34a,5b1f5ed37e4529f694602d64e2539d6b28f65fe7ac698be9efb7022eefc12feb,src/kdd2027_benchmark/current_five_task/reconstruct.py,encode_actions,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_rv01r/sources.py,kdigo_creatinine_events,272-310,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,1861e45bc5a549cade386b57a9d2a4f4c367f020c7a4cf465ae58e57309d70be,src/kdd2027_benchmark/current_five_task/reconstruct.py,kdigo_creatinine_events,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_rv01r/sources.py,_bin_intervals,522-547,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,00044d6458058ff856b19da8c48900ebf55aa11c58ca60935b4b6740909446c9,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,kdd097_interval_bins,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_rv01r/sources.py,_bin_peep,550-574,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,b2cc3b8a2d3832b5d7f8ceb63f8c4814ce640e8f7940c0f3fd5ec7c394d675a6,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_arrays,pass
KDD097,d1b5215e33ed9aaee9f1a0e426374e157a59fd38,kdd_rv01r/construction.py,_build_transitions,147-189,f0c586f60102b0048d5c682a6bc86757bc71e090941e1d9d608c5f1224b8e39c,38ac3c59d6835038742a864ca19f74a15f3716a533d311be8980d605c88ce91f,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_transitions,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/sepsisagent_sepsis3_stay_manifest.py,build_adult_icu_stays,32-79,7062040c82eff9801d09d6f221a394e64021bef45fc93bb1d39ec09ab379205e,1defc825066ef309126fc9330558af903499d570ce3b3d5929eef83a35a3992e,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,large_lineage_stays,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/sepsisagent_sepsis3_stay_manifest.py,read_culture_events,108-163,7062040c82eff9801d09d6f221a394e64021bef45fc93bb1d39ec09ab379205e,0a377a24cf1a05678b722b011c9700b31908e9b08aec391d34886396eae35b4e,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,blood_culture_events,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/sepsisagent_sepsis3_stay_manifest.py,match_suspected_infections,166-184,7062040c82eff9801d09d6f221a394e64021bef45fc93bb1d39ec09ab379205e,6d39cd20680cf26e9bbf1f061e784c8090f34b1fe08d6688f310d13244d5dc94,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,match_suspected_infections,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/meddreamer_sepsis3_sofa_filter.py,apply_sofa_min_filter,7-27,46d8aae25f4af4aaeeea2ca1ba33ae7fb0b6dae0b238d6d49ffc5fa8724e9f7a,4e61afd90f6018b716849ccbebdfaebb562fa62a754ffaad322211ccbbdfd1ae,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,sepsis_sofa_filter,pass
KDD121,0ef40bb35702bdafed74d444927c6f12a85e0373,kdd_benchmark_discovery/run_kdd121_large_lineage_materialization.py,source_candidates,102-161,6c6ee262abfd5c78a8666b84be58e5d40cd4c3f574b4d2838abd89725dea27b1,200616ba30678ef0ced6c839971875627981e37e104af82903cab4f3dab5edb5,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_anchors,pass
KDD121,0ef40bb35702bdafed74d444927c6f12a85e0373,kdd_benchmark_discovery/run_kdd121_large_lineage_materialization.py,role_for,97-99,6c6ee262abfd5c78a8666b84be58e5d40cd4c3f574b4d2838abd89725dea27b1,f4b82824b443d3ffe515ab1162986e3901a2ebdaeb1a440ba2558bc507eca99c,src/kdd2027_benchmark/current_five_task/contracts.py,subject_role,pass
KDD152-v2A,e3d30f1a176fcf8957e78f91199e85998d6cb30e,kdd_benchmark_discovery/run_kdd152_v2a_repaired_interface_materialization.py,_old_action_source,95-120,b784c465ad4709858191348442f7fe3f29de2c1cc59d598e7872c3af28ae3517,6171def434322e893765e1dacaf5dc4d0b6e9f647d42c163ba2fc2b101c24867,src/kdd2027_benchmark/current_five_task/reconstruct.py,encode_actions,pass
KDD152-v2A,e3d30f1a176fcf8957e78f91199e85998d6cb30e,kdd_benchmark_discovery/run_kdd152_v2a_repaired_interface_materialization.py,old_sources,123-145,b784c465ad4709858191348442f7fe3f29de2c1cc59d598e7872c3af28ae3517,8fd23ffc465d13b9da1b5e3f85f4284b974546cb62c2adc020e838f16b7aa86a,src/kdd2027_benchmark/current_five_task/reconstruct.py,filter_target_observed_transitions,pass
KDD152-v2A,e3d30f1a176fcf8957e78f91199e85998d6cb30e,kdd_benchmark_discovery/kdd152v2a_repaired_interfaces.py,build_role_interface,251-315,6402ee9eb64526ab41f122584342011c13bf709c9846efa43e5f16eecaeb66a7,3e996d96740cdad912e8a30c570a254d0af695617ba5ea5dd640e4cb42023a68,src/kdd2027_benchmark/current_five_task/contracts.py,SAFE_FEATURE_INDICES,pass
KDD201,c464ea895102d6d4c09e83ad268ef6ecc0a8c0a2,kdd_benchmark_discovery/kdd201_rebuild.py,apply_frozen_temporal_repair,15-45,349f7f608c573be14f282a3cfa90fef45e835d7c523133be532ac816166012d6,fc9aa95dfa8ee0c2c3e135993fd0382a214be431137c310c95499b10523a73ef,src/kdd2027_benchmark/current_five_task/contracts.py,apply_kdd201_temporal_repair,pass
KDD151,5794725139c1b3f5e372a4d6b7be2cf40784f4dd,kdd_benchmark_discovery/run_kdd151_current_lineage_source_unit_repair.py,file,NA,ba23a8fcbe9a064f92d6376866ac7288d26bef240275f0aaa99b08358916f450,NA,src/kdd2027_benchmark/current_five_task/authoritative_semantics.py,feature_unit_and_derived_repairs,preserved
KDD184,904308551f07b5de073d600f179bfd99a7d67389,kdd_benchmark_discovery/run_kdd184_dbp_source_plausibility_audit.py,file,NA,a788105b82d8e9e4d445bf307eb9aa41c022b18ae036947dd3bff97282e3ba55,NA,src/kdd2027_benchmark/current_five_task/contracts.py,corrected_chart_value,preserved
config,0ef40bb35702bdafed74d444927c6f12a85e0373,configs/kdd121_large_lineage_materialization_v1.json,file,NA,23a5e4f9b3e1c9a092504e3402b0238a1ccb9c29ea8dcdd2fa1129a3db4f3418,NA,src/kdd2027_benchmark/current_five_task/runtime_config.json,authoritative_source_commits,pass
config,e3d30f1a176fcf8957e78f91199e85998d6cb30e,configs/kdd152_v2a_repaired_interface_materialization_v1.json,file,NA,ae45d554870d372b83ed734665bf9a9346b2cb59331185189bcbc75d77a8d784,NA,src/kdd2027_benchmark/current_five_task/runtime_config.json,authoritative_source_commits,pass
config,c464ea895102d6d4c09e83ad268ef6ecc0a8c0a2,configs/kdd201_affected_cohort_downstream_rebuild_v1.json,file,NA,3a47eeb1eb4d3245974f9070f315821d96feec0495c355d51e3a85b08a7e5a68,NA,src/kdd2027_benchmark/current_five_task/runtime_config.json,authoritative_source_commits,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,results/e060_sepsisagent_sepsis3_preprocessing_summary_20260609/e060_sepsisagent_sepsis3_preprocessing_report.md,file,NA,06812ac97121dbb937a54f840f39b782b72e8606e2a875067adba8ef2c5e76be,NA,release/kdd220ar5/frozen_kdd220ar5_current_lineage_source_port_contract.md,E060_command_contract,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/build_mimiciv_sepsisagent_stay_manifest.py,file,NA,06c190c5026540ed2b38f83e46e5ed3aa5ffd523d01dc1f5375d68058d361124,NA,src/kdd2027_benchmark/current_five_task/lineage_source_port.py,E060_manifest_port,pass
E060,0ef40bb35702bdafed74d444927c6f12a85e0373,scripts/export_mimiciv_meddreamer_sepsis3_stay_level.py,file,NA,6205ceacfea166f817dd6fa3b923c7bf249307f33f10fcd94ffd23fe26928954,NA,src/kdd2027_benchmark/current_five_task/reconstruct.py,E060_window_and_array_port,pass
