stage,task,candidate_or_row_count,action_K,reference_clause,status
anchor,sepsis,1,25,E060 blood suspected infection,pass
anchor,respiratory_support,1,25,KDD097 recorded ventilation anchor,pass
anchor,shock,5,25,KDD097 sustained hypotension or vasopressor anchor,pass
anchor,aki,1,4,KDD097 creatinine or RRT anchor,pass
anchor,heart_failure,2,2,KDD121 nonsepsis current-stay decongestion anchor,pass
post_E060_filter,sepsis,1,25,max observed SOFA at least 2 with onset unchanged,pass
transition,sepsis,11,25,stay-bounded 48h post-anchor,pass
transition,respiratory_support,10,25,KDD201 anchor-bin removal and action validity,pass
transition,shock,49,25,source-specific KDD201 disposition,pass
transition,aki,11,4,source-specific KDD201 disposition,pass
transition,heart_failure,20,2,KDD201 anchor-bin removal,pass
target_filter,all,pass,NA,any observed SAFE target feature required,pass
ordering,all,pass,NA,stable task stay anchor and transition order,pass
role_disjointness,all,pass,NA,task-specific deterministic subject role,pass
