fixture,expected,observed,status
blood_culture_before_antibiotic_within_72h,culture_time_is_onset,culture_time_is_onset,pass
antibiotic_before_blood_culture_within_24h,antibiotic_time_is_onset,antibiotic_time_is_onset,pass
nonblood_specimen,not_eligible,not_eligible,pass
sepsis_window_overlap_without_anchor_inside,eligible_when_-24_+48_window_overlaps_stay,eligible,pass
sepsis_SOFA_below_2,excluded,excluded,pass
sepsis_SOFA_at_least_2,retained_without_anchor_shift,retained_without_anchor_shift,pass
HF_without_prior_diagnosis,current_stay_diuretic_or_vasodilator_anchor,current_stay_anchor_retained,pass
HF_same_stay_as_retained_sepsis,excluded_from_nonsepsis_HF,excluded,pass
hospice_location,not_an_independent_exclusion,not_excluded_by_location,pass
large_lineage_stay,adult_demographics_outcome_and_at_least_24h,task_specific_filter,pass
