gate,expected,observed,status
schema_draft,Draft_2020_12,Draft_2020_12,pass
schema_version,1.2.0,1.2.0,pass
task_inventory,5,5,pass
role_inventory,train_validation_historical_other_all_roles,train_validation_historical_other_all_roles,pass
stage_counts,candidate_target_membership_action_observed_kdd201_removed_final,all_present_by_task_and_role,pass
respiratory_marginals,PEEP_legacy_FiO2_joint_missing,all_present_by_role,pass
action_surface,cutpoints_hashes_class_counts_support_digest,all_present,pass
component_digests,17_aggregate_only_components,17_per_task_role,pass
forbidden_identity_fields,identity_membership_time_and_record_level_fields,all_rejected,pass
scientific_surface_hash,canonical_runtime_and_streaming_instrumentation_independent_sha256,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
