surface,ar6_identity,ar7_implementation,verification,status
base_commit,94e3362fcf20888f8744e435174d9f3292314b0b,dedicated_KDD220AR7_branch,git_identity,pass
runtime_config,d731ea37e4cb47e20e76dc7d6de8160fe361da88ebf6d2385d2a50b096f84c89,unchanged,sha256,pass
aggregate_schema,1f2291181f996d668830169c7ce9fd9bc536506a0628232b70093df01ddc9694,unchanged,sha256,pass
dependency_lock,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,unchanged,sha256,pass
scientific_surface,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,canonical_sha256,pass
python311_fixture_receipt,8f125bbb524132b79db68fa4a28b4bf04aa5438ffc742ebb979bb15dec405f8a,8f125bbb524132b79db68fa4a28b4bf04aa5438ffc742ebb979bb15dec405f8a,byte_sha256,pass
high_volume_scan,retained_DataFrame_list_plus_concat,private_chunk_partitions_plus_disk_backed_canonical_materialization,source_and_stress_test,pass
past_only_history,full_SAFE_tensor_copy,episode_local_read_plus_private_memory_map,fixture_digest,pass
role_surface,list_of_group_DataFrames_plus_heap_padded_arrays,contiguous_episode_slices_plus_private_memory_maps,fixture_digest,pass
prior_receipts,tracked_at_base_commit,unchanged,git_diff_release_excluding_kdd220ar7,pass
