axis,variant,scientific_surface_sha256,status
parser_chunk_rows,25000,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
parser_chunk_rows,50000,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
parser_chunk_rows,100000,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
parser_chunk_rows,250000,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
compression,csv,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
compression,csv_gz,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
python,3.11,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
python,3.12,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
python,3.13,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
input_order,stable_source_order_fixture,f412a1c03d2325339543628384c4aad14dd0ffbf92160a4d51d11c4c42b750a3,pass
