stage,authoritative_commit,authoritative_path,authoritative_symbol_or_lines,authoritative_file_sha256,public_path,public_symbol_or_lines,status
stay_eligibility,d1b5215e,kdd_rv01r/sources.py,load_stays,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,src/kdd2027_benchmark/current_five_task/reconstruct.py,load_core_with_time_audit_and_classify_icu_time_eligibility,exact_no_change
oxygenation_pattern,d1b5215e,kdd_benchmark_discovery/exposures.py,PROCEDURE_PATTERNS_oxygenation_support_and_INPUT_PATTERNS_oxygenation_support,b3f02fdc77e8e6e83370862e3c95fdf2ce5c658de6908ffe7f644f0ef6423f,src/kdd2027_benchmark/current_five_task/contracts.py,RESPIRATORY_PATTERN_line_100,exact_reused
support_event_scan,d1b5215e,kdd_rv01r/sources.py,scan_icu_intervals_lines_174_220,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_anchors_lines_751_801,repaired
episode_anchor,d1b5215e,kdd_benchmark_discovery/run_kdd097_materialization.py,_development_candidates_respiratory_anchor,385ad6c0c4868c57face2a5d2fd313657479b9ac831074eb563fa269b6d5e34a,src/kdd2027_benchmark/current_five_task/reconstruct.py,build_anchors_lines_785_803,exact_after_repair
transition_window,d1b5215e,kdd_rv01r/construction.py,_build_transitions_and_eligible_transition_indices,source_mapped_in_KDD220AR5_AR6,src/kdd2027_benchmark/current_five_task/contracts.py,eligible_transition_indices_lines_249_260,exact_no_change
peep_fio2_action,d1b5215e,kdd_benchmark_discovery/run_kdd097_materialization.py,_materialize_actions,385ad6c0c4868c57face2a5d2fd313657479b9ac831074eb563fa269b6d5e34a,src/kdd2027_benchmark/current_five_task/reconstruct.py,respiratory_chart_surfaces_aggregate_respiratory_action_bins_encode_actions,exact_no_change
action_safe_separation,e3d30f1a,kdd_benchmark_discovery/run_kdd152_v2a_repaired_interface_materialization.py,_old_action_source_clear_and_repair,b784c465ad4709858191348442f7fe3f29de2c1cc59d598e7872c3af28ae3517,src/kdd2027_benchmark/current_five_task/reconstruct.py,pre_repair_masks_and_final_SAFE_masks,exact_no_change
membership_filter,e3d30f1a,kdd_benchmark_discovery/run_kdd152_v2a_repaired_interface_materialization.py,old_sources,b784c465ad4709858191348442f7fe3f29de2c1cc59d598e7872c3af28ae3517,src/kdd2027_benchmark/current_five_task/reconstruct.py,frozen_action_and_membership_pipeline,exact_no_change
first_decision,c464ea89,kdd_benchmark_discovery/kdd201_rebuild.py,apply_frozen_temporal_repair,349f7f608c573be14f282a3cfa90fef45e835d7c523133be532ac816166012d6,src/kdd2027_benchmark/current_five_task/reconstruct.py,apply_kdd201_to_frozen_actions,exact_no_change
terminal_continuation,e3d30f1a,kdd_benchmark_discovery/kdd152v2a_repaired_interfaces.py,build_interface_final_valid_transition,source_mapped_in_KDD220AR5_AR6,src/kdd2027_benchmark/current_five_task/reconstruct.py,_role_surface_terminal_and_continuation,exact_no_change
