check,pre_repair_observation,post_repair_observation,status
positive_input_HFNC_anchor,fixture_failed_to_form_respiratory_episode,one_structured_respiratory_support_event_at_frozen_start_time,pass
ICU_time_boundary,inclusive_intime_and_exclusive_outtime,inclusive_intime_and_exclusive_outtime,pass
duplicate_anchor_order,stable_first_equal_timestamp_row,stable_first_equal_timestamp_row,pass
invalid_stay_filter,one_each_missing_intime_missing_outtime_equal_and_reversed_excluded,same,pass
missing_action_filter,negative_missing_class_removed_and_retained_class_7_preserved,same,pass
candidate_transition_count,not_applicable,11,pass
original_target_membership_count,not_applicable,11,pass
KDD201_removed_first_decisions,not_applicable,1,pass
final_transition_count,not_applicable,10,pass
retained_episode_count,not_applicable,1,pass
repaired_fixture_scientific_surface_sha256,not_applicable,b30a3f7dd0f30f5453dc9f6b513044adaae65169d8805943d0a4527f1fe6c45a,pass
repaired_fixture_aggregate_receipt_sha256,not_applicable,234d3697dc12c7d3542b4c21009992b25804ed4b0cdf9e6c7023e5952ed605c9,pass
