identity,sha256_or_value,status
ar8p_packaging_decision,complete_kdd220ar8_immutable_handoff_ready_for_kdd220br8,pass
public_commit,0331aa36e5b09824d5a1a04dc5b189976458ddaa,pass
public_git_tree,c5aea2c30414d8f957e5076df3617b74b9128312,pass
remote_branch,kdd220ar8-localized-respiratory-parity,pass
remote_commit,0331aa36e5b09824d5a1a04dc5b189976458ddaa,pass
checkout_state,detached_clean_before_execution,pass
constructor_source_sha256,914356315ba3a489b6d97f5b2770b3c87e1b770e3ff735a6198a9a064f69592f,pass
runtime_config_file_sha256,d731ea37e4cb47e20e76dc7d6de8160fe361da88ebf6d2385d2a50b096f84c89,pass
runtime_config_canonical_sha256,dee6f037d88789971987eecba2595d2748cb3f0bb22fcf59db893df747124682,pass
aggregate_schema_sha256,1f229de694f995b9a500270f3e411dab8bddfee46b15ac038bdb1a21b561f117,pass
controlled_stop_schema_sha256,15d84e9f5988d63dd61edb9a8667d59544a7e52481efbe1029bb8b83c01cd374,pass
dependency_lock_sha256,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,pass
checksum_manifest_sha256,c0269c2917d442c976ca1c3ec3b35f98a4f0b864c62486ca530f3982deeca557,pass
python_version,3.11.15,pass
package_version,1.1.0,pass
installed_package_set_sha256,06d2afe71560e1be0d7e5191ac360d4a9529bfddfab055af18c5392a8625bfe8,pass
constructor_command_template_sha256,6b22098ca0127368792e2a5536305e7b5dafcb444d7f81601121feddf8ba3a06,pass
mimic_contract,MIMIC-IV_v3.1_csv.gz_only_14_tables,pass
default_chunk_rows,250000,pass
