field,value,status
source_commit,0331aa36e5b09824d5a1a04dc5b189976458ddaa,pass
preserved_br8_stop_commit,8e506b56e57dad51f8a27211f28575934087d32a,pass
preserved_br8_release_tree,49a061a3e4e1d65ffc99c8d6a57b45169f9e1c88,pass
constructor_invocations,1,frozen_no_retry
constructor_exit_status,0,observed
candidate_output_path_nonexistent_before_run,yes,pass
candidate_file_count,7,observed
candidate_tree_sha256,49380616f17f58b6e2cb384bde5760f3349b9769a0f4772cb90a19ad22a5be19,observed
input_claimed_release,MIMIC-IV-3.1,insufficient_identity
input_identity,synthetic_fixture,fail
hosp_labevents_rows_read,4,identity_failure_evidence
icu_chartevents_rows_read,1300,identity_failure_evidence
icu_inputevents_rows_read,420,identity_failure_evidence
authoritative_reference_opened,no,pass
credentialed_parity_status,not_run,stop
