field,value,status
source_commit,0331aa36e5b09824d5a1a04dc5b189976458ddaa,pass
source_tree,c5aea2c30414d8f957e5076df3617b74b9128312,pass
constructor_sha256,914356315ba3a489b6d97f5b2770b3c87e1b770e3ff735a6198a9a064f69592f,pass
config_sha256,d731ea37e4cb47e20e76dc7d6de8160fe361da88ebf6d2385d2a50b096f84c89,pass
schema_sha256,1f229de694f995b9a500270f3e411dab8bddfee46b15ac038bdb1a21b561f117,pass
lock_sha256,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,pass
python,3.11.15,pass
input,MIMIC-IV_3.1_explicit_read_only_14_csv_gz,pass
chunk_rows,250000,pass
clean_detached_checkout,yes,pass
