field,value,status
selection,reused_existing_BR8R2_candidate,pass
constructor_invocations_in_KDD220M1,0,pass
original_constructor_invocations,1,pass
candidate_file_count,7,pass
candidate_tree_sha256,8b6ecaab4ae4a42c387f3f34612f9cb0135b10e29bcd3a7e95b83056dca25d29,pass
expected_candidate_tree_sha256,8b6ecaab4ae4a42c387f3f34612f9cb0135b10e29bcd3a7e95b83056dca25d29,pass
schema_validation,pass,pass
checksum_freeze,pass,pass
privacy_freeze,zero_findings,pass
candidate_location,private_local_location_redacted,pass
reference_opening_order,candidate_identity_frozen_before_historical_aggregate_comparison,pass
selection_by_closeness_to_historical_reference,no,pass
